name,description,address,city,region,province,postal_code,phone,fax,hours,url,latitude,longitude,distance,materials,pickup,dropoff,notes,groups,curbside,municipal,national,event_only
"AMG Resources Corp","AMG Resources Corp","430 W Desert Flower Ln","Phoenix","Maricopa","AZ","85045","4804604862","4804604863","","http://www.amgresources.com","33.3109","-112.08172","0.851947804249331","Ferrous Metals (Steel or Iron); Video Game Consoles; PlayStation Consoles","true","true","","","false","false","false","false"
"AMG Resources Corp","","430 West Desert Flower Lane","Phoenix","","AZ","85045","4804604862","0","","https://www.amgresources.com/","33.3110445","-112.0814971","0.867458536091128","","false","false","","","false","false","false","false"
"USPS Post Office Box Lobby Recycling Program","US Post Office","16825 S Desert Foothills Pkwy","Phoenix","Maricopa","AZ","85048","8002758777","0","","https://www.usps.com/","33.29308","-112.06251","1.67405664608019","Catalogs; Greeting Cards; Magazines; Paper (Mixed)","false","true","","","false","false","false","false"
"US Post Office","USPS Discarded Lobby Mail Recycling Program","16825 S Desert Foothills Pkwy","Phoenix","Maricopa","AZ","85048","0","0","","","33.29308","-112.06251","1.67405664608019","Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"City of Phoenix Christmas Tree Drop-Off Event - Desert Foothills Park","","1010 E Marketplace SE","Phoenix","","AZ","85048","6022627251","0","","https://www.phoenix.gov/publicworks","33.3057255","-112.0596402","1.78845226133138","","false","false","","","false","false","false","false"
"Foothills Ace Hardware","Foothills Ace Hardware","1335 E Chandler Blvd","Phoenix","Maricopa","AZ","85048","4804604223","0","","http://www.acehardware.com/","33.30472","-112.05408","2.09403977943757","Compact Fluorescent Lights; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Desert Foothills Ace Hardware","Desert Foothills Ace Hardware","1335 E Chandler Blvd","Phoenix","Maricopa","AZ","85048","4804604223","0","","http://www.acehardware.com/","33.30472","-112.05408","2.09403977943757","Compact Fluorescent Lights; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Safeway","Safeway","1334 E Chandler Blvd","Phoenix","Maricopa","AZ","85048","4802830032","0","","http://www.safeway.com","33.30669","-112.05419","2.11010861156576","Plastic Shopping Bags; Food Storage Bags; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Safeway","","1334 East Chandler Boulevard","Phoenix","","AZ","85048","4802830032","0","","https://shop.safeway.com/home.html","33.3069685","-112.0538781","2.13159065310921","","false","false","","","false","false","false","false"
"Shred Nations","Shred Nations (inside The UPS Store)","3145 E Chandler Blvd Ste 110","Phoenix","Maricopa","AZ","85048","4809393271","0","Monday: 8:00 AM - 7:00 PM Tuesday: 8:00 AM - 7:00 PM Wednesday: 8:00 AM - 7:00 PM Thursday: 8:00 AM - 7:00 PM Friday: 8:00 AM - 6:00 PM Saturday: 9:00 AM - 5:00 PM ","http://www.shrednations.com/dropoff/location/phoenix/219ec4e1-7c78-1553-4217-52682dd7c7d3","33.30456","-112.01571","4.2995037749622","Cell Phones; Computer (Recycling); Laptop Computers; Small Televisions; Documents to Shred; Video Game Consoles; PlayStation Consoles","true","true","Shred Nations offers document shredding, hard drive destruction, electronics recycling and more. Visit website for quotes and full list of services offered in your area. ","","false","false","false","false"
