name,description,address,city,region,province,postal_code,phone,fax,hours,url,latitude,longitude,distance,materials,pickup,dropoff,notes,groups,curbside,municipal,national,event_only
"Keep America Beautiful Cars to Donate","","","Commerce","","CA","90040","8554262474","0","","https://www.kab.org/?pagename=car_donation","33.9930471","-118.153228","0.0918542031271115","","false","false","","","false","false","false","false"
"USPS Post Office Box Lobby Recycling Program","US Post Office","5670 E Washington Blvd","Commerce","Los Angeles","CA","90040","8002758777","0","","https://www.usps.com/","33.99962","-118.15805","0.533091815888745","Catalogs; Greeting Cards; Magazines; Paper (Mixed)","false","true","","","false","false","false","false"
"US Post Office","US Post Office","5670 E Washington Blvd","Commerce","Los Angeles","CA","90040","0","0","","https://www.usps.com/ship/recycle-through-usps.htm","33.99962","-118.15805","0.533091815888745","Inkjet Printer Cartridges; Video Game Consoles; PlayStation Consoles","false","true","Free, postage-paid Mail Back envelopes can be found on display in the lobby. There is no limit to the number of envelopes customers may take. The contents of the envelope must weigh less than 13 ounces and the envelope must be able to seal completely. For more details visit<a href="http://www.maxback.com/mxb-postoffice-collaboration" target="_blank">MaxBack</a>.","","false","false","false","false"
"Office Depot","Office Depot","6446 Telegraph Rd","Commerce","Los Angeles","CA","90040","3238900131","0","Monday: 7:00 AM - 9:00 PM Tuesday: 7:00 AM - 9:00 PM Wednesday: 7:00 AM - 9:00 PM Thursday: 7:00 AM - 9:00 PM Friday: 7:00 AM - 9:00 PM Saturday: 9:00 AM - 9:00 PM Sunday: 10:00 AM - 6:00 PM ","http://www.officedepot.com/","33.99249","-118.14155","0.600978762869277","Cell Phones; Computer Monitors; Electronics; Inkjet Printer Cartridges; Ni-Cd Batteries; Office Equipment; Batteries (Rechargeable); Laser Toner Cartridges; MP3 Players; Small Televisions; Video Game Consoles; PlayStation Consoles","false","true","Office Depot offers electronics recycling for a small fee. Visit their Web site for more details and store locations. Recycle cell phones, PDAs, rechargeable batteries and ink and toner cartridges for FREE!","","false","false","false","false"
"US Post Office","US Post Office","5555 Bandini Blvd","Bell","Los Angeles","CA","90201","0","0","","https://www.usps.com/ship/recycle-through-usps.htm","33.99457","-118.16382","0.683707296641529","Inkjet Printer Cartridges; Video Game Consoles; PlayStation Consoles","false","true","Free, postage-paid Mail Back envelopes can be found on display in the lobby. There is no limit to the number of envelopes customers may take. The contents of the envelope must weigh less than 13 ounces and the envelope must be able to seal completely. For more details visit<a href="http://www.maxback.com/mxb-postoffice-collaboration" target="_blank">MaxBack</a>.","","false","false","false","false"
"Nike Reuse-A-Shoe Drop-Off","Nike Reuse-A-Shoe Drop-Off","100 Citadel Dr Ste 561","Commerce","Los Angeles","CA","90040","3237201684","0","","http://www.nikereuseashoe.com/","34.00465","-118.15271","0.749959987083057","Shoes; Video Game Consoles; PlayStation Consoles","false","true","Nike's Reuse-A-Shoe program collects old, worn-out athletic shoes for recycling, transforming them into Nike Grind, a material used in creating athletic and playground surfaces as well as select Nike products.","","false","false","false","false"
"Levi’s® ","Levi’s® Store","100 Citadel Dr Ste 404","Commerce","Los Angeles","CA","90040","3237251450","3237251719","","http://www.levistrauss.com/","34.00465","-118.15271","0.749959987083057","Clothing; Denim; Shoes; Video Game Consoles; PlayStation Consoles","false","true","Customers may drop off no-longer-wanted clothing and shoes for recycling in the collection boxes at local Levi’s® stores and Levi’s® Outlet  stores and receive a voucher for 20% off a single regular-priced Levi’s®  item in-store.","","false","false","false","false"
"Union Rescue Mission","Union Rescue Mission","5600 Mansfield Way ","Bell","Los Angeles County","CA","90201","2136734592","2133162736","Monday: 8:00 AM - 3:30 PM Tuesday: 8:00 AM - 3:30 PM Wednesday: 8:00 AM - 3:30 PM Thursday: 8:00 AM - 3:30 PM Friday: 8:00 AM - 3:30 PM ","http://urm.org/","33.9875256","-118.1632257","0.779957594211797","Clothing; Electronics; Furniture; Household Goods; MP3 Players; Video Game Consoles; PlayStation Consoles","true","true","","","false","false","false","false"
"Commerce E-Waste Center","","5788 Smithway St","Commerce","","CA","90040","3238379950","0","","http://www.ci.commerce.ca.us/index.aspx?NID=536","34.0052075","-118.1491141","0.803337130850304","","false","false","","","false","false","false","false"
"Park & Ride L016","Park & Ride L016","5675 Telegraph Rd","Commerce","Los Angeles","CA","90040","8002666883","0","","http://mapsvr.scag.ca.gov/parkride/","34.00549","-118.15366","0.812766591373327","Video Game Consoles; PlayStation Consoles","false","true","Please call 1-800-371-LINK for more information.","","false","false","false","false"
"The PUMA Store","","100 Citadel Drive","Commerce","","CA","90040","3237221320","0","","https://us.puma.com/en/us/home?locale=en_US&mktID=PL:Brand%252520Marketing:Puma.com-CatchAllPage:United%252520States-en&plinkID=Brand","34.0063385","-118.1529537","0.86727595814234","","false","false","","","false","false","false","false"
"Nike Factory Store","","100 Citadel Drive","Los Angeles","","CA","90040","3237201684","0","","https://www.nike.com/us/en_us/c/better-world/stories/2012/09/reuse-a-shoe","34.0063385","-118.1529537","0.86727595814234","","false","false","","","false","false","false","false"
"Ewaste Center Inc","Ewaste Center Inc","5788 Smithway St","Commerce","Los Angeles","CA","90040","3238379950","0","","http://www.ewastecenter.com/","34.00646","-118.14885","0.891152671078139","Electronics; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"MSE Media Solutions","","6013 Scott Way","Los Angeles","","CA","90040","3237211656","0","","https://www.msemedia.com/","33.9809361","-118.1500283","0.896371143127753","","false","false","","","false","false","false","false"
"Beacon Management, Inc","","6025 Scott Way","Commerce","","CA","90040","3237225587","0","","http://bmionline.us/","33.9804341","-118.1507597","0.926868767513914","","false","false","","","false","false","false","false"
"Call2Recycle at Hilti","Call2Recycle at Hilti","3310 Garfield Ave","Commerce","Los Angeles","CA","90040","3237210590","0","","https://www.us.hilti.com/","33.98515","-118.13955","0.927609548734694","Cell Phones; Ni-Cd Batteries; Li-Ion Batteries; Ni-MH Batteries; Ni-Zn Batteries; Small Sealed Lead Acid Batteries; Video Game Consoles; PlayStation Consoles","false","true","The U.S. EPA estimates that more than 350 million rechargeable batteries are purchased annually in the U.S. Thanks to the environmental commitment of this location, its easy and free to recycle your batteries. Bring your rechargeable batteries to this location and look for the recycling box or ask an associate how you can do your part for the environment.","","false","false","false","false"
"MSE Media Solutions","MSE Media Solutions","6013 Scott Way","Commerce","Los Angeles","CA","90040","3237211656","0","Monday: 8:00 AM - 6:00 PM Tuesday: 8:00 AM - 6:00 PM Wednesday: 8:00 AM - 6:00 PM Thursday: 8:00 AM - 6:00 PM Friday: 8:00 AM - 5:00 PM ","http://www.msemedia.com","33.98031","-118.15014","0.938609693044773","VHS & Cassette Tapes; Video Game Consoles; PlayStation Consoles","true","true","","","false","false","false","false"
"Beacon Management Inc","Beacon Management Inc","6025 Scott Way","Commerce","Los Angeles","CA","90040","3237225587","0","","http://www.bmionline.us","33.98031","-118.15014","0.938609693044773","Aluminum; Computer (Recycling); Electronics; Memory (RAM), Flash Card/Drive; Industrial Equipment; Video Game Consoles; PlayStation Consoles","true","true","","","false","false","false","false"
"J P Resource Company","J P Resource Company","5928 S Malt Ave","Commerce","Los Angeles","CA","90040","3237214300","0","Monday: 7:00 AM - 4:30 PM Tuesday: 7:00 AM - 4:30 PM Wednesday: 7:00 AM - 4:30 PM Thursday: 7:00 AM - 4:30 PM Friday: 7:00 AM - 4:30 PM ","http://www.bottlesandcans.com","33.98114","-118.14529","0.954510638503372","Brown Paper Bags; Cardboard; Catalogs; Computer Paper; Greeting Cards; Magazines; Paper (Mixed); Newspapers; Office Paper; Video Game Consoles; PlayStation Consoles","false","true","This site is a buy back center. Please call for rebate information.","","false","false","false","false"
"FP International","","6195 Randolph St","Los Angeles","","CA","90040","3237225112","0","","https://www.fpintl.com/","33.9797849","-118.1530062","0.971338454780463","","false","false","","","false","false","false","false"
"Allan Co","Allan Co","5811 E 61st St","Commerce","Los Angeles","CA","90040","3237225796","0","Monday: 6:00 AM - 8:00 PM Tuesday: 6:00 AM - 8:00 PM Wednesday: 6:00 AM - 8:00 PM Thursday: 6:00 AM - 8:00 PM Friday: 6:00 AM - 3:00 PM Saturday: 5:30 AM - 1:00 PM ","http://www.allancompany.com/","33.98067","-118.15909","0.996777410029901","Plastic #1 (PETE); Plastic #2 (HDPE); Plastic #4 (LDPE); Plastic #5 (Polypropylene); Plastic #7; Aluminum; Glass (Brown); Glass (Clear); Computer (Recycling); Electronics; Glass (Green); Paper (Mixed); Televisions; Video Game Consoles; PlayStation Consoles","true","true","","","false","false","false","false"
"Allan Company","","5811 East 61st Street","Commerce","","CA","90040","3237225796","0","","https://www.allancompany.com/","33.9814228","-118.1616021","1.02016860654356","","false","false","","","false","false","false","false"
"FP International","FP International","6195 Randolph St","Commerce","Los Angeles","CA","90040","3237225112","0","Monday: 8:00 AM - 5:00 PM Tuesday: 8:00 AM - 5:00 PM Wednesday: 8:00 AM - 5:00 PM Thursday: 8:00 AM - 5:00 PM Friday: 8:00 AM - 5:00 PM ","http://www.fpintl.com/","33.97835","-118.15288","1.06989422436535","Plastic #6 (Polystyrene); Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Home Depot","","7015 Telegraph Rd","Commerce","","CA","90040","3237279600","0","","https://ecooptions.homedepot.com/","33.9869762","-118.1343948","1.10950472078459","Batteries (Rechargeable); Cell Phone Batteries; Li-Ion Batteries; Ni-Cd Batteries; Ni-MH Batteries; Small Sealed Lead Acid Batteries","false","true","","Call2Recycle","false","false","false","false"
"Strategic Materials, Inc.","","7000 Bandini Blvd","Commerce","","CA","90040","3238876831","0","","https://www.strategicmaterials.com/","33.9846776","-118.1355834","1.12882711160087","","false","false","","","false","false","false","false"
"Call2Recycle at the Home Depot","Call2Recycle at the Home Depot","7015 Telegraph Rd","Commerce","Los Angeles","CA","90040","3237279600","0","","http://www.homedepot.com/","33.98702","-118.1338","1.13917518032537","Cell Phones; Compact Fluorescent Lights; Ni-Cd Batteries; Li-Ion Batteries; Ni-MH Batteries; Ni-Zn Batteries; Small Sealed Lead Acid Batteries; Video Game Consoles; PlayStation Consoles","false","true","The Home Depot accepts used rechargeable batteries and compact fluorescent bulbs. Look for the orange drop boxes, usually located near the front entrance near the customer service desk, or ask a store associate for more details.","","false","false","false","false"
"Home Depot","Home Depot","7015 Telegraph Rd","Commerce","Los Angeles","CA","90040","3237279600","0","Monday: 5:30 AM - 10:00 PM Tuesday: 5:30 AM - 10:00 PM Wednesday: 5:30 AM - 10:00 PM Thursday: 5:30 AM - 10:00 PM Friday: 5:30 AM - 10:00 PM Saturday: 6:00 AM - 10:00 PM Sunday: 8:00 AM - 6:00 PM ","http://www.homedepot.com","33.98702","-118.1338","1.13917518032537","Compact Fluorescent Lights; Batteries (Rechargeable); Video Game Consoles; PlayStation Consoles","false","true","Home Depot accepts compact fluorescent bulbs and used power tool rechargeable batteries. Look for the orange drop boxes, usually located near the front entrance near the customer service desk.","","false","false","false","false"
"Golden State Fibers","Golden State Fibers","5585 E 61st St","Commerce","Los Angeles","CA","90040","8187139330","0","Monday: 8:00 AM - 2:30 PM Tuesday: 8:00 AM - 2:30 PM Wednesday: 8:00 AM - 2:30 PM Thursday: 8:00 AM - 2:30 PM Friday: 8:00 AM - 2:30 PM ","","33.98138","-118.1654","1.1552178225629","Cardboard; Computer Paper; Greeting Cards; Magazines; Paper (Mixed); Newspapers; Office Paper; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Recycled Fibers a Division of the Newark Group","Recycled Fibers a Division of the Newark Group","5585 E 61st St","Commerce","Los Angeles","CA","90040","8002465634","0","Monday: 6:00 AM - 4:00 PM Tuesday: 6:00 AM - 4:00 PM Wednesday: 6:00 AM - 4:00 PM Thursday: 6:00 AM - 4:00 PM Friday: 6:00 AM - 4:00 PM ","http://www.newarkgroup.com/rfd/units_rfd.tpl","33.98138","-118.1654","1.1552178225629","Brown Paper Bags; Cardboard; Catalogs; Chipboard; Computer Paper; Gift Boxes; Greeting Cards; Magazines; Paper (Mixed); Newspapers; Paperboard; Phone books; Office Paper; Video Game Consoles; PlayStation Consoles","false","true","This site does not accept waxed paper.","","false","false","false","false"
