name,description,address,city,region,province,postal_code,phone,fax,hours,url,latitude,longitude,distance,materials,pickup,dropoff,notes,groups,curbside,municipal,national,event_only
"Trumbull Public Library","","33 Quality Street","Trumbull","","CT","6611","9782842500","0","","","41.2567037","-73.2172806","0.375450257405324","","false","false","","","false","false","false","false"
"USPS Post Office Box Lobby Recycling Program","US Post Office","50 Quality St","Trumbull","Fairfield","CT","06611","8002758777","0","","https://www.usps.com/","41.256","-73.21874","0.442498403053161","Catalogs; Greeting Cards; Magazines; Paper (Mixed)","false","true","","","false","false","false","false"
"US Post Office","USPS Discarded Lobby Mail Recycling Program","50 Quality St","Trumbull","Fairfield","CT","06611","0","0","","","41.256","-73.21874","0.442498403053161","Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Blue Rhino Exchange - Stop & Shop #620","Blue Rhino Exchange - Stop & Shop #620","100 Quality St","Trumbull","Fairfield","CT","06611","2034451006","0","","http://www.bluerhino.com","41.25618","-73.21924","0.469587083902664","Propane Tank Exchange; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Trumbull ZOOTS","Trumbull ZOOTS","5893 Main St","Trumbull","Fairfield","CT","06611","2032685577","0","","http://www.zoots.com","41.25767","-73.21966","0.512523940501328","Perc-Free Dry Cleaning; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Mail Boxes Etc.","Mail Boxes Etc.","4 Daniels Farm Rd","Trumbull","Fairfield","CT","06611","2032615007","0","Monday: 8:30 AM - 6:00 PM Tuesday: 8:30 AM - 6:00 PM Wednesday: 8:30 AM - 6:00 PM Thursday: 8:30 AM - 6:00 PM Friday: 8:30 AM - 6:00 PM Saturday: 9:00 AM - 2:00 PM ","","41.24642","-73.19764","0.903581116885257","Packing Peanut (Reuse); Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Trumbull Household Hazardous Waste Collection Program","","","Trumbull","","CT","6611","2034525056","0","","http://www.trumbull-ct.gov/","41.2428563","-73.2006639","1.00114172161074","","false","false","","","false","false","false","false"
"LensCrafters","LensCrafters","5065 Main St","Trumbull","Fairfield","CT","06611","2033741744","0","Monday: 10:00 AM - 9:30 PM Tuesday: 10:00 AM - 9:30 PM Wednesday: 10:00 AM - 9:30 PM Thursday: 10:00 AM - 9:30 PM Friday: 10:00 AM - 9:30 PM Saturday: 10:00 AM - 9:30 PM Sunday: 11:00 AM - 7:00 PM ","http://www.lenscrafters.com","41.22996","-73.21998","1.83047861539177","Eyeglasses; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"RadioShack","RadioShack","5065 Main St","Trumbull","Fairfield","CT","06611","2033746670","0","Monday: 10:00 AM - 9:00 PM Tuesday: 10:00 AM - 9:00 PM Wednesday: 10:00 AM - 9:00 PM Thursday: 10:00 AM - 9:00 PM Friday: 10:00 AM - 9:00 PM Saturday: 10:00 AM - 9:00 PM Sunday: 11:00 AM - 6:00 PM ","http://www.radioshack.com","41.22996","-73.21998","1.83047861539177","Cell Phones; Ni-Cd Batteries; Batteries (Rechargeable); Cell Phone Batteries; Video Game Consoles; PlayStation Consoles","false","true","This site is located in the Trumbull Shopping Park.","","false","false","false","false"
"AT&T Wireless","AT&T Wireless","5065 Main St","Trumbull","Fairfield","CT","06611","2033746658","0","","http://www.att.com/","41.22996","-73.21998","1.83047861539177","Cell Phones; Ni-Cd Batteries; Batteries (Rechargeable); Cell Phone Batteries; Tablets; Li-Ion Batteries; Video Game Consoles; PlayStation Consoles","false","true","Receive an AT&T Promotion Card worth the trade-in value of your smartphone, tablet, or netbook. You can also donate the trade-in value to Cell Phones for Soldiers.","","false","false","false","false"
