name,description,address,city,region,province,postal_code,phone,fax,hours,url,latitude,longitude,distance,materials,pickup,dropoff,notes,groups,curbside,municipal,national,event_only
"ACME","","2098 Naamans Road","Wilmington","","DE","19810","3024754618","0","","","39.8238197","-75.5005541","0.43099605677096","","false","false","","","false","false","false","false"
"Acme","null","2098 Naamans Rd","Wilmington","New Castle","DE","19810","3024754618","0","","http://www.acmemarkets.com/#1","39.82436","-75.49791","0.533603440855515","Plastic Shopping Bags; Food Storage Bags; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Safeway","","2522 Foulk Road","Wilmington","","DE","19810","3024758803","0","","https://shop.safeway.com/home.html","39.825914","-75.4990488","0.59576132747732","","false","false","","","false","false","false","false"
"Chester Bethel Thrift Shop","Chester Bethel Thrift Shop","2615 Foulk Rd","Wilmington","New Castle","DE","19810","3024753022","0","","","39.83066","-75.49957","0.896193923537448","Clothing; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Walgreens","Walgreens","1812 Marsh Rd","Wilmington","New Castle","DE","19810","3024754265","0","","http://www.walgreens.com","39.8028","-75.50464","1.05821259847116","Cell Phones; Inkjet Printer Cartridges; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"RadioShack","RadioShack","1812 Marsh Rd","Wilmington","New Castle","DE","19810","3024754800","0","Monday: 10:00 AM - 9:00 PM Tuesday: 10:00 AM - 9:00 PM Wednesday: 10:00 AM - 9:00 PM Thursday: 10:00 AM - 9:00 PM Friday: 10:00 AM - 9:00 PM Saturday: 9:30 AM - 8:00 PM Sunday: 10:00 AM - 7:00 PM ","http://www.radioshack.com","39.8028","-75.50464","1.05821259847116","Ni-Cd Batteries; Batteries (Rechargeable); Video Game Consoles; PlayStation Consoles","false","true","This site is located in the Branmar Plaza.","","false","false","false","false"
"Call2Recycle at RadioShack","Call2Recycle at RadioShack","1812 Marsh Rd","Wilmington","New Castle","DE","19810","3024754800","0","","http://www.radioshack.com/","39.8028","-75.50464","1.05821259847116","Cell Phones; Ni-Cd Batteries; Li-Ion Batteries; Ni-MH Batteries; Ni-Zn Batteries; Small Sealed Lead Acid Batteries; Video Game Consoles; PlayStation Consoles","false","true","As the first national retailer to partner with Call2Recycle, RadioShack is at the forefront of the rechargeable battery recycling cause and is pleased to offer battery recycling at thousands of convenient RadioShack locations for free.  Simply drop them off at your local RadioShack and theyll take care of the rest.  Ask a store associate for more details.","","false","false","false","false"
"TJ's Fodd Market","TJ's Fodd Market","1700 Marsh Rd","Wilmington","New Castle","DE","19810","8003660141","0","","http://www.communityrecycling.biz/","39.80118","-75.50527","1.17179248054294","Bags & Belts; Clothing; Purses, Handbags, & Totes; Shoes; Textiles; Wallets; Video Game Consoles; PlayStation Consoles","true","true","Gently worn clothing and household linens of all kinds. All types of belts and family bags, including handbags, purses, wallets, backpacks, totes and duffel bags. Reusable pairs of men's, women's and kids shoes, including all athletic shoes, dress shoes and casual shoes.  
</br>                   
Recycle your clothes, shoes and accessories at home for FREE with CR Home.  No more hauling garbage bags to a roadside bin or recycling center. All you need is a box and our free shipping label. To schedule your at-home pick up and to learn more visit <a href="http://www.communityrecycling.biz/programs/cr-home">CR Home</a>.
</br>
Before you send - Remember to reuse! Please make sure the following items are not included in your drop-off or CR Home package: Damaged or unusable items (this includes shoes with holes & tears), heavy winter coats and boots, large luggage, roller skates or blades, flip flops, crocs or slippers.","","false","false","false","false"
