name,description,address,city,region,province,postal_code,phone,fax,hours,url,latitude,longitude,distance,materials,pickup,dropoff,notes,groups,curbside,municipal,national,event_only
"Urban E Recycling, Inc","Urban E Recycling, Inc","5148 Le Tourneau Cir","Tampa","Hillsborough","FL","33610","8135019346","0","","http://urbanerecycling.com/","27.99312","-82.39774","0.180895554578828","Lead Acid (Pb) Batteries; Cell Phones; Computer Monitors; Computer (Recycling); Video Game Systems; Office Equipment; Batteries (Rechargeable); Telephones; Printers/Scanners/Fax Machines; Cell Phone Batteries; Memory (RAM), Flash Card/Drive; Laptop Computers; Tablets; Cables & Connectors; Servers; VCRs; DVD Players/Blu-Ray Players/DVRs; Li-Ion Batteries; Satellite Components; Small Sealed Lead Acid Batteries; Video Game Consoles; PlayStation Consoles","true","true","Free pick up. Contact location to schedule pick-up. No CRT monitors, televisions, single-use batteries, or glass bulbs accepted.","","false","false","false","false"
"Urban E Recycling & Consulting","","5148 LeTourneau Circle","Tampa","","FL","33610","8135019346","0","","https://urbanerecycling.com/","27.993592","-82.3961999","0.244308421751799","","false","false","","","false","false","false","false"
"Patriot Metals Recycling","","5226 East Hillsborough Avenue","Tampa","","FL","33610","8136217463","0","","http://www.patriotmetals.com/","27.9969859","-82.3962872","0.264989047046434","","false","false","","","false","false","false","false"
"Accurate Paper Recycling","Accurate Paper Recycling","5500 E Giddens Ave","Tampa","Hillsborough","FL","33610","8136227377","0","Monday: 7:00 AM - 3:30 PM Tuesday: 7:00 AM - 3:30 PM Wednesday: 7:00 AM - 3:30 PM Thursday: 7:00 AM - 3:30 PM Friday: 7:00 AM - 3:30 PM ","","27.99526","-82.39421","0.349583127237884","Cardboard; Computer Paper; Greeting Cards; Paper (Mixed); Office Paper; Video Game Consoles; PlayStation Consoles","true","true","","","false","false","false","false"
"Global Investment Recovery Inc","","5409 East Henry Avenue","Tampa","","FL","33610","8008868086","0","","","27.9992447","-82.3951679","0.418018140560653","","false","false","","","false","false","false","false"
"Williams Middle Magnet School","Williams Middle Magnet School","5020 N 47th St","Tampa","Hillsborough","FL","33610","7275070777","0","","http://www.spnewsprint.com","27.991","-82.40608","0.46176842501926","Catalogs; Computer Paper; Magazines; Newspapers; Phone books; Office Paper; Video Game Consoles; PlayStation Consoles","false","true","SP Recycling Corporation your full service recycling company. To request a paper recycling bin please call 727-507-0777","","false","false","false","false"
"Trademark Metals Recycling LLC","","5509 East Henry Avenue","Tampa","","FL","33610","8136261368","0","","http://www.tmrecycling.com/","27.9993552","-82.3941972","0.466120168768352","","false","false","","","false","false","false","false"
"Trademark Metals Recycling LLC","","5509 East Henry Avenue","Tampa","","FL","33610","8136261368","0","","http://www.tmrecycling.com/","27.9993552","-82.3941972","0.466120168768352","","false","false","","","false","false","false","false"
"Trademark Metals Recycling LLC","Trademark Metals Recycling LLC","5509 E Henry Ave","Tampa","Hillsborough","FL","33610","8136261368","0","Monday: 8:30 AM - 4:30 PM Tuesday: 8:30 AM - 4:30 PM Wednesday: 8:30 AM - 4:30 PM Thursday: 8:30 AM - 4:30 PM Friday: 8:30 AM - 4:30 PM Saturday: 8:30 AM - 1:30 PM ","http://www.tmrecycling.com","27.99973","-82.3946","0.466204703657271","Aluminum Cans; Aluminum; Car; Ferrous Metals (Steel or Iron); Large Household Appliances; Lawn Equipment; Non-ferrous (Copper/Brass/Tin); Holiday Lights; Tin or Steel Cans; Cables & Connectors; Wire; Air Conditioners; Refrigerators; Radiators; Motors; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Sunbelt Transportation","Sunbelt Transportation","5635 E Powhatan Ave","Tampa","Hillsborough","FL","33610","8136265101","0","","","27.9992","-82.39231","0.55179512188997","Used Motor Oil; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
