name,description,address,city,region,province,postal_code,phone,fax,hours,url,latitude,longitude,distance,materials,pickup,dropoff,notes,groups,curbside,municipal,national,event_only
"AutoZone","AutoZone","4747 N Post Rd","Indianapolis","Marion","IN","46226","3178990169","0","","http://www.autozone.com","39.84381","-86.01014","0.897683540852873","Lead Acid (Pb) Batteries; Used Motor Oil; Computer (Recycling); Computer Monitors; Cameras; DVD Players/Blu-Ray Players/DVRs; Electronics; GPS Units; Laptop Computers; MP3 Players; Computer Peripherals; Portable Media Players; Printers/Scanners/Fax Machines; Small Electronics; Small Televisions; Tablets; Televisions; Video Game Systems; Blu-Ray Players; Video Game Consoles; PlayStation Consoles","false","true","Most AutoZone stores accept used motor oil, transmission fluid, gear oil and automotive batteries. Call to see what your local store is currently accepting.","","false","false","false","false"
"USPS Post Office Box Lobby Recycling Program","US Post Office","4430 McCoy St","Indianapolis","Marion","IN","46226","8002758777","0","","https://www.usps.com/","39.83807","-86.02511","1.37610091702682","Catalogs; Greeting Cards; Magazines; Paper (Mixed)","false","true","","","false","false","false","false"
"US Post Office","USPS Discarded Lobby Mail Recycling Program","4430 McCoy St","Indianapolis","Marion","IN","46226","0","0","","","39.83807","-86.02511","1.37610091702682","Computer (Recycling); Computer Monitors; Cameras; DVD Players/Blu-Ray Players/DVRs; Electronics; GPS Units; Laptop Computers; MP3 Players; Computer Peripherals; Portable Media Players; Printers/Scanners/Fax Machines; Small Electronics; Small Televisions; Tablets; Televisions; Video Game Systems; Blu-Ray Players; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Indiana Mulch & Stone LLC","","10300 Pendleton Pike","Indianapolis","","IN","46236","3178267777","0","","http://www.brushdumping.com/","39.8569878","-85.984964","1.57863183055337","","false","false","","","false","false","false","false"
"Indiana Mulch & Stone","","10300 Pendleton Pike","Indianapolis","","IN","46236","3178267777","0","","http://www.indianamulch.com/","39.8569878","-85.984964","1.57863183055337","","false","false","","","false","false","false","false"
"Staples","","10422 Pendleton Pike","Indianapolis","","IN","46236","3178260194","0","","https://www.staples.com/sbd/cre/marketing/sustainability-center/recycling-services/","39.8589832","-85.9824194","1.72275016556102","","false","false","","","false","false","false","false"
"AutoZone","AutoZone","10560 Pendleton Pike","Indianapolis","Marion","IN","46236","3178233154","0","","http://www.autozone.com","39.85855","-85.98111","1.78899228011279","Lead Acid (Pb) Batteries; Used Motor Oil; Computer (Recycling); Computer Monitors; Cameras; DVD Players/Blu-Ray Players/DVRs; Electronics; GPS Units; Laptop Computers; MP3 Players; Computer Peripherals; Portable Media Players; Printers/Scanners/Fax Machines; Small Electronics; Small Televisions; Tablets; Televisions; Video Game Systems; Blu-Ray Players; Video Game Consoles; PlayStation Consoles","false","true","Most AutoZone stores accept used motor oil, transmission fluid, gear oil and automotive batteries. Call to see what your local store is currently accepting.","","false","false","false","false"
"Walgreens","Walgreens","4555 N Shadeland Ave","Indianapolis","Marion","IN","46226","3175427782","0","","http://www.walgreens.com","39.83979","-86.04596","2.01265045989233","Cell Phones; Inkjet Printer Cartridges; Computer (Recycling); Computer Monitors; Cameras; DVD Players/Blu-Ray Players/DVRs; Electronics; GPS Units; Laptop Computers; MP3 Players; Computer Peripherals; Portable Media Players; Printers/Scanners/Fax Machines; Small Electronics; Small Televisions; Tablets; Televisions; Video Game Systems; Blu-Ray Players; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Kroger","Kroger","8939 E 38th St","Indianapolis","Marion","IN","46226","3172647555","0","","http://www.kibi.org/recycle/indy_recycles_locations.htm","39.82594","-86.0111","2.10763268370524","Plastic #1 (PETE); Plastic #2 (HDPE); Plastic #2 (Color HDPE); Aerosol Spray Cans; Aluminum Cans; Glass (Brown); Glass (Clear); Glass (Green); Magazines; Newspapers; Tin or Steel Cans; Computer (Recycling); Computer Monitors; Cameras; DVD Players/Blu-Ray Players/DVRs; Electronics; GPS Units; Laptop Computers; MP3 Players; Computer Peripherals; Portable Media Players; Printers/Scanners/Fax Machines; Small Electronics; Small Televisions; Tablets; Televisions; Video Game Systems; Blu-Ray Players; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Call2Recycle at Hilti","Call2Recycle at Hilti","4074 Pendleton Way","Indianapolis","Marion","IN","46226","3175421048","0","","https://www.us.hilti.com/","39.82864","-86.03445","2.18012423308415","Cell Phones; Ni-Cd Batteries; Li-Ion Batteries; Ni-MH Batteries; Ni-Zn Batteries; Small Sealed Lead Acid Batteries; Computer (Recycling); Computer Monitors; Cameras; DVD Players/Blu-Ray Players/DVRs; Electronics; GPS Units; Laptop Computers; MP3 Players; Computer Peripherals; Portable Media Players; Printers/Scanners/Fax Machines; Small Electronics; Small Televisions; Tablets; Televisions; Video Game Systems; Blu-Ray Players; Video Game Consoles; PlayStation Consoles","false","true","The U.S. EPA estimates that more than 350 million rechargeable batteries are purchased annually in the U.S. Thanks to the environmental commitment of this location, its easy and free to recycle your batteries. Bring your rechargeable batteries to this location and look for the recycling box or ask an associate how you can do your part for the environment.","","false","false","false","false"
"Goodwill Industries of Central Indiana Inc. - Dell Reconnect Donation Site","","5720 North Sunnyside Road","Indianapolis","","IN","46235","3178238057","0","","https://www.goodwillindy.org/","39.8588403","-85.9736535","2.1847561447772","","false","false","","","false","false","false","false"
"Valvoline Instant Oil Change","","5859 N German Church Rd","Lawrence","","IN","46236","3178237750","0","","https://www.vioc.com/","39.8624126","-85.9741891","2.19018309980562","","false","false","","","false","false","false","false"
"Walmart","Walmart","8010 E 38th St","Indianapolis","Marion","IN","46226","3178955734","0","","http://www.walmart.com","39.82589","-86.02673","2.19682081858625","Lead Acid (Pb) Batteries; Plastic Shopping Bags; Food Storage Bags; Computer (Recycling); Computer Monitors; Cameras; DVD Players/Blu-Ray Players/DVRs; Electronics; GPS Units; Laptop Computers; MP3 Players; Computer Peripherals; Portable Media Players; Printers/Scanners/Fax Machines; Small Electronics; Small Televisions; Tablets; Televisions; Video Game Systems; Blu-Ray Players; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Batteries Plus","Batteries Plus","7325 Pendleton Pike","Indianapolis","Marion","IN","46226","3175439302","3175439303","","http://www.batteriesplus.com/store_details/006.aspx","39.83044","-86.03919","2.20961467675112","Compact Fluorescent Lights; Batteries (Rechargeable); Alkaline/Single-Use Batteries; Computer (Recycling); Computer Monitors; Cameras; DVD Players/Blu-Ray Players/DVRs; Electronics; GPS Units; Laptop Computers; MP3 Players; Computer Peripherals; Portable Media Players; Printers/Scanners/Fax Machines; Small Electronics; Small Televisions; Tablets; Televisions; Video Game Systems; Blu-Ray Players; Video Game Consoles; PlayStation Consoles","false","true","Some fees for battery recycling may apply.  Please contact your Local store for details. 
<p>
Batteries Plus lead by example by recycling the majority of the batteries we sell. Not only do we recycle to protect our environment, we support retail and business customers alike by keeping them in full compliance with federal, state, municipal, EPA and DOT regulations governing the disposal and recycling of spent batteries and select electronics.","","false","false","false","false"
"Batteries Plus Bulbs","","7325 Pendleton Pike Rd","Indianapolis","","IN","46226","3175439302","0","","https://www.batteriesplus.com/store-locator/in/006?utm_source=local&utm_medium=earth911","39.8298519","-86.0397746","2.26071789484699","","false","false","","","false","false","false","false"
"Kroger","Kroger","11101 Pendleton Pike","Indianapolis","Marion","IN","46236","3172647555","0","","http://www.kibi.org/recycle/indy_recycles_locations.htm","39.8633","-85.9709","2.37328710139184","Plastic #1 (PETE); Plastic #2 (HDPE); Plastic #2 (Color HDPE); Aerosol Spray Cans; Aluminum Cans; Glass (Brown); Glass (Clear); Glass (Green); Magazines; Newspapers; Tin or Steel Cans; Computer (Recycling); Computer Monitors; Cameras; DVD Players/Blu-Ray Players/DVRs; Electronics; GPS Units; Laptop Computers; MP3 Players; Computer Peripherals; Portable Media Players; Printers/Scanners/Fax Machines; Small Electronics; Small Televisions; Tablets; Televisions; Video Game Systems; Blu-Ray Players; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"City of Indianapolis - Kroger Drop-off Site","City of Indianapolis - Kroger Drop-off Site","11101 Pendleton Pike","Indianapolis","Marion","IN","46236","3173272987","0","","http://www.indy.gov/","39.8633","-85.9709","2.37328710139184","Plastic #1 (PETE); Plastic #2 (HDPE); Plastic #3 (PVC); Plastic #4 (LDPE); Plastic #5 (Polypropylene); Plastic #6 (Polystyrene); Plastic #7; Aluminum Cans; Glass (Blue); Glass (Brown); Catalogs; Glass (Clear); Glass (Green); Magazines; Newspapers; Phone books; Plastic Shopping Bags; Tin or Steel Cans","false","true","This site is located at the Sunnyside Shoppes.   Businesses are welcome to recycle small quantities of the materials listed.  Please call for further information.","","false","false","false","false"
"City of Indianapolis - John Marshall Community High School Drop-off Site","City of Indianapolis - John Marshall Community High School Drop-off Site","10101 E 38th St","Indianapolis","Marion","IN","46235","3173272987","0","","http://www.indy.gov/","39.82622","-85.98866","2.49701323404962","Plastic #1 (PETE); Plastic #2 (HDPE); Plastic #3 (PVC); Plastic #4 (LDPE); Plastic #5 (Polypropylene); Plastic #6 (Polystyrene); Plastic #7; Aerosol Spray Cans; Aluminum Cans; Glass (Blue); Glass (Brown); Catalogs; Glass (Clear); Glass (Green); Magazines; Newspapers; Phone books; Plastic Shopping Bags; Tin or Steel Cans","false","true","","","false","false","false","false"
"USPS Post Office Box Lobby Recycling Program","US Post Office","12125 E 65th St","Indianapolis","Marion","IN","46236","8002758777","0","","https://www.usps.com/","39.87126","-85.97062","2.55617894950471","Catalogs; Greeting Cards; Magazines; Paper (Mixed)","false","true","","","false","false","false","false"
"US Post Office","USPS Discarded Lobby Mail Recycling Program","12125 E 65th St","Indianapolis","Marion","IN","46236","0","0","","","39.87126","-85.97062","2.55617894950471","Computer (Recycling); Computer Monitors; Cameras; DVD Players/Blu-Ray Players/DVRs; Electronics; GPS Units; Laptop Computers; MP3 Players; Computer Peripherals; Portable Media Players; Printers/Scanners/Fax Machines; Small Electronics; Small Televisions; Tablets; Televisions; Video Game Systems; Blu-Ray Players; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Indianapolis Recycles Drop-off Site - John Marshall Community High School","","10101 E 38th St","Indianapolis","","IN","46235","3172647555","0","","https://www.indy.gov:443","39.8247053","-85.9895691","2.55935937364434","","false","false","","","false","false","false","false"
"Advance Auto Parts","Advance Auto Parts","6850 Pendleton Pike","Indianapolis","Marion","IN","46226","3175451821","0","Monday: 7:00 AM - 9:00 PM Tuesday: 7:00 AM - 9:00 PM Wednesday: 7:00 AM - 9:00 PM Thursday: 7:00 AM - 9:00 PM Friday: 7:00 AM - 9:00 PM Saturday: 7:00 AM - 9:00 PM Sunday: 10:00 AM - 8:00 PM ","http://www.advanceautoparts.com","39.82621","-86.04836","2.74094561026481","Lead Acid (Pb) Batteries; Used Motor Oil; Computer (Recycling); Computer Monitors; Cameras; DVD Players/Blu-Ray Players/DVRs; Electronics; GPS Units; Laptop Computers; MP3 Players; Computer Peripherals; Portable Media Players; Printers/Scanners/Fax Machines; Small Electronics; Small Televisions; Tablets; Televisions; Video Game Systems; Blu-Ray Players; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Green Wave Computer Recycling","","9206 East 33rd Street","Indianapolis","","IN","46235","3178990000","0","","http://www.gwcri.com/","39.8168618","-86.0050156","2.77424837686616","","false","false","","","false","false","false","false"
"The UPS Store","The UPS Store","7399 N Shadeland Ave","Indianapolis","Marion","IN","46250","3175950005","0","Monday: 8:30 AM - 7:00 PM Tuesday: 8:30 AM - 7:00 PM Wednesday: 8:30 AM - 7:00 PM Thursday: 8:30 AM - 7:00 PM Friday: 8:30 AM - 7:00 PM Saturday: 10:00 AM - 4:00 PM ","http://www.upsstore.com","39.88876","-86.046","2.78842975513576","Packing Peanut (Reuse); Computer (Recycling); Computer Monitors; Cameras; DVD Players/Blu-Ray Players/DVRs; Electronics; GPS Units; Laptop Computers; MP3 Players; Computer Peripherals; Portable Media Players; Printers/Scanners/Fax Machines; Small Electronics; Small Televisions; Tablets; Televisions; Video Game Systems; Blu-Ray Players; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Marsh Supermarket","Marsh Supermarket","7481 N Shadeland Ave","Indianapolis","Marion","IN","46250","3178497571","0","Sunday: 12:00 AM - 11:59 PM Monday: 12:00 AM - 11:59 PM Tuesday: 12:00 AM - 11:59 PM Wednesday: 12:00 AM - 11:59 PM Thursday: 12:00 AM - 11:59 PM Friday: 12:00 AM - 11:59 PM Saturday: 12:00 AM - 11:59 PM ","","39.88946","-86.04601","2.82775662280239","Aluminum Cans; Newspapers; Tin or Steel Cans; Computer (Recycling); Computer Monitors; Cameras; DVD Players/Blu-Ray Players/DVRs; Electronics; GPS Units; Laptop Computers; MP3 Players; Computer Peripherals; Portable Media Players; Printers/Scanners/Fax Machines; Small Electronics; Small Televisions; Tablets; Televisions; Video Game Systems; Blu-Ray Players; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
