name,description,address,city,region,province,postal_code,phone,fax,hours,url,latitude,longitude,distance,materials,pickup,dropoff,notes,groups,curbside,municipal,national,event_only
"Osage County Recycling Drop-off - Scranton","","202 Brownie St","Scranton","","KS","66537","7858284416","0","","http://osageco.org/main/","38.7804242","-95.738439","1.20148966292448","","false","false","","","false","false","false","false"
"Osage County Recycling Center","","208 W 17th St","Lyndon","","KS","66451","7858284416","0","","http://osageco.org/main/","38.6213107","-95.6863575","10.2136732259933","","false","false","","","false","false","false","false"
"Home Oil Company","Home Oil Company","104 N 9th St","Osage City","Osage","KS","66523","7855284132","0","Monday: 8:00 AM - 5:00 PM Tuesday: 8:00 AM - 5:00 PM Wednesday: 8:00 AM - 5:00 PM Thursday: 8:00 AM - 5:00 PM Friday: 8:00 AM - 5:00 PM Saturday: 8:00 AM - 11:30 AM ","","38.63452","-95.82005","10.3828537256339","Aluminum Cans; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Osage County Recycling Drop-off - Osage City","","9th & Main Street","Osage City","","KS","66523","7858284416","0","","http://lakeregionswa.fws1.com/OsageCounty.html","38.6335478","-95.8201011","10.4429359498312","","false","false","","","false","false","false","false"
"Osage County HHW Mobile Unit","","Main St & S 9th St","Osage City","","KS","66523","7858284416","0","","http://www.kansasrecycles.org/programs/osage-city-hhw","38.6330109","-95.819728","10.4657261792318","","false","false","","","false","false","false","false"
"Bettis Asphalt","","8424 SW Topeka Blvd","Wakarusa","","KS","66546","7852358444","0","","","38.91451","-95.6864442","10.4958058023832","","false","false","","","false","false","false","false"
"Osage Salvage","Osage Salvage","600 N Martin St ","Osage City","Osage County","KS","66523","7855284141","0","Monday: 8:00 AM - 5:00 PM Tuesday: 8:00 AM - 5:00 PM Wednesday: 8:00 AM - 5:00 PM Thursday: 8:00 AM - 5:00 PM Friday: 8:00 AM - 5:00 PM Saturday: 8:00 AM - 11:59 PM ","","38.6399649","-95.836675","10.5346674263725","Aluminum Cans; Aluminum; Brown Paper Bags; Ferrous Metals (Steel or Iron); Large Household Appliances; Non-ferrous (Copper/Brass/Tin); Tin or Steel Cans; Printers/Scanners/Fax Machines; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Call2Recycle at McCoy's/Radio Shack Dealer","Call2Recycle at McCoy's/Radio Shack Dealer","523 Market St","Osage City","Osage","KS","66523","9135288118","0","","http://www.radioshack.com/","38.63432","-95.82644","10.5666825544032","Cell Phones; Ni-Cd Batteries; Li-Ion Batteries; Ni-MH Batteries; Ni-Zn Batteries; Small Sealed Lead Acid Batteries; Video Game Consoles; PlayStation Consoles","false","true","As the first national retailer to partner with Call2Recycle, RadioShack is at the forefront of the rechargeable battery recycling cause and is pleased to offer battery recycling at thousands of convenient RadioShack locations for free.  Simply drop them off at your local RadioShack and theyll take care of the rest.  Ask a store associate for more details.","","false","false","false","false"
"911 Cell Phone Bank - Lynn Council On Aging","911 Cell Phone Bank - Lynn Council On Aging","730 Topeka Ave","Lyndon","Osage","KS","66451","8662907864","0","","http://www.911cellphonebank.org/","38.61085","-95.68451","10.9413173294877","Cell Phones; Cameras; Laptop Computers; MP3 Players; Video Games; Video Game Consoles; Smart watches & Apple Watch®
","false","true","Please call to verify drop-off procedures and directions to the location.  For prepaid shipping labels, visit http://www.911cellphonebank.org/drop-off-locations.asp - click on "print shipping label."","","false","false","false","false"
"Shawnee County Recycling - Auburn Apple Market","","1431 N Washington St","Auburn","","KS","66402","7852336147","0","","http://www.snco.us","38.9127249","-95.8164881","11.2499042155173","","false","false","","","false","false","false","false"
"Lion's Club","Lion's Club","6700 SW Topeka Blvd","Topeka","Shawnee","KS","66620","7858621020","0","Tuesday: 10:00 AM - 4:00 PM Wednesday: 10:00 AM - 4:00 PM Thursday: 10:00 AM - 4:00 PM Friday: 10:00 AM - 4:00 PM Saturday: 10:00 AM - 4:00 PM ","","38.93896","-95.68043","12.2154875227756","Eyeglasses; Video Game Consoles; PlayStation Consoles","false","true","This site is located at the Museum of Kansas National Guard.","","false","false","false","false"
"Asset LifeCycle, LLC","Asset LifeCycle, LLC","6700 SW Topeka Blvd Bldg 170W","Topeka","Shawnee","KS","66620","7852728288","0","Monday: 8:00 AM - 5:00 PM Tuesday: 8:00 AM - 5:00 PM Wednesday: 8:00 AM - 5:00 PM Thursday: 8:00 AM - 5:00 PM Friday: 8:00 AM - 5:00 PM ","http://www.assetlc.com","38.93896","-95.68043","12.2154875227756","MP3 Players; Computer Monitors; Computer (Recycling); Electronics; Office Equipment; Video Game Consoles; PlayStation Consoles","true","true","","","false","false","false","false"
"Shawnee County Recycling - Topeka Quarter Midget Association","","1121 SW University Blvd","Topeka","","KS","66619","7852336147","0","","http://www.snco.us","38.9503348","-95.6949895","12.8600541429192","","false","false","","","false","false","false","false"
"Shawnee County Recycling - Washburn Rural High School","","5900 SW 61st St","Topeka","","KS","66619","7852336147","0","","http://www.snco.us","38.9574787","-95.759483","13.3618780473752","","false","false","","","false","false","false","false"
"Old Shawnee County Road Maintenance Shop","Old Shawnee County Road Maintenance Shop","6318 SW Auburn Rd ","Auburn","Shawnee County","KS","66402","0","0","","null","38.951893","-95.816546","13.7418080020041","Aluminum Cans; Cardboard; Glass (Brown); Glass (Clear); Glass (Green); Magazines; Newspapers; Plastic #1 (PETE); Plastic #2 (HDPE); Tin or Steel Cans","false","true","","","false","false","false","false"
"LKQ Mid-America Auto Parts","","5725 South Topeka","Topeka","","KS","66619","7858628888","0","","","38.9634628","-95.6881637","13.8095547797372","","false","false","","","false","false","false","false"
"Shawnee County Recycling - Dultmeier Homes","","4900 SW Vorse Rd","Topeka","","KS","66610","7852336147","0","","http://www.snco.us","38.9777981","-95.7686421","14.8219362896147","","false","false","","","false","false","false","false"
"O'Reilly Auto Parts","O'Reilly Auto Parts","4710 SW Topeka Blvd","Topeka","Shawnee","KS","66609","7858624749","0","Monday: 8:00 AM - 9:00 PM Tuesday: 8:00 AM - 9:00 PM Wednesday: 8:00 AM - 9:00 PM Thursday: 8:00 AM - 9:00 PM Friday: 8:00 AM - 9:00 PM Saturday: 8:00 AM - 9:00 PM Sunday: 9:00 AM - 6:00 PM ","http://www.oreillyauto.com/","38.9809","-95.68708","15.0100144512077","Used Motor Oil; Video Game Consoles; PlayStation Consoles","false","true","Most stores offer Used Oil & Battery Recycling, Battery Testing, 
Electrical & Module Testing, Loaner Tool Program, Drum / Rotor Resurfacing. Call your location for more details.","","false","false","false","false"
"O'Reilly Auto Parts","null","4710 Sw Topeka Boulevard ","Topeka","","KS","66609","7858624749","0","","http://oreillyauto.custhelp.com/app/error/error_id/6","38.9817817","-95.6870104","15.0708506577671","","false","false","","","false","false","false","false"
"Walmart","Walmart","1301 SW 37th St","Topeka","Shawnee","KS","66611","7852677900","0","","http://www.walmart.com","38.99959","-95.69577","16.2354507972028","Lead Acid (Pb) Batteries; Plastic Shopping Bags; Food Storage Bags; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Lion's Club","Lion's Club","1301 SW 37th St","Topeka","Shawnee","KS","66611","7852665757","0","Monday: 9:00 AM - 9:00 PM Tuesday: 9:00 AM - 9:00 PM Wednesday: 9:00 AM - 9:00 PM Thursday: 9:00 AM - 9:00 PM Friday: 9:00 AM - 9:00 PM Saturday: 9:00 AM - 6:00 PM Sunday: 12:00 PM - 5:00 PM ","","38.99959","-95.69577","16.2354507972028","Eyeglasses; Video Game Consoles; PlayStation Consoles","false","true","This site is located at the WalMart South Optical Department.","","false","false","false","false"
"Walmart Tire & Lube Express","Walmart Tire & Lube Express","1301 SW 37th St","Topeka","Shawnee","KS","66611","7852677900","0","","http://www.walmart.com/catalog/catalog.gsp?cat=495843","38.99959","-95.69577","16.2354507972028","Lead Acid (Pb) Batteries; Used Motor Oil; Oil Filters; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Walmart Supercenter","","1301 SW 37th St","Topeka","","KS","66609","7852677900","0","","https://www.walmart.com/","38.9994451","-95.6937933","16.2366120410375","","false","false","","","false","false","false","false"
