name,description,address,city,region,province,postal_code,phone,fax,hours,url,latitude,longitude,distance,materials,pickup,dropoff,notes,groups,curbside,municipal,national,event_only
"USPS Post Office Box Lobby Recycling Program","US Post Office","76 Sutton St Ste 2","Northbridge","Worcester","MA","01534","8002758777","0","","https://www.usps.com/","42.14881","-71.65372","0.189191633875941","Catalogs; Greeting Cards; Magazines; Paper (Mixed)","false","true","","","false","false","false","false"
"US Post Office","USPS Discarded Lobby Mail Recycling Program","76 Sutton St Ste 2","Northbridge","Worcester","MA","01534","0","0","","","42.14881","-71.65372","0.189191633875941","Computer (Recycling); Computer Monitors; Electronics; Laptop Computers; Computer Peripherals; Small Electronics; Small Televisions; Televisions; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Polyfoam ","","2355 Providence Rd","Northbridge","","MA","1534","5082346323","0","","https://polyfoamcorp.com/","42.155228","-71.6527944","0.628357791296339","","false","false","","","false","false","false","false"
"Polyfoam Corporation","","2355 Providence Rd","Northbridge","","MA","1534","5082346323","0","","https://polyfoamcorp.com/","42.155228","-71.6527944","0.628357791296339","","false","false","","","false","false","false","false"
"Shaw's","Shaw's","1177 Providence Rd","Whitinsville","Worcester","MA","01588","5082340457","0","","","42.12529","-71.64639","1.52199275840963","Plastic Shopping Bags; Food Storage Bags; Computer (Recycling); Computer Monitors; Electronics; Laptop Computers; Computer Peripherals; Small Electronics; Small Televisions; Televisions; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Shaws","","1177 Providence Road","Whitinsville","","MA","1588","5082340457","0","","","42.1240406","-71.6460595","1.60946590103424","","false","false","","","false","false","false","false"
"Koopman True Value Lumber","Koopman True Value Lumber","665 Church St","Whitinsville","Worcester","MA","01588","5088344545","0","","http://www.truevalue.com","42.12352","-71.64611","1.64315622838407","Transmission Fluid; Used Motor Oil; Computer (Recycling); Computer Monitors; Electronics; Laptop Computers; Computer Peripherals; Small Electronics; Small Televisions; Televisions; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Blue Rhino Exchange - Leisure Life Pool & Patio","Blue Rhino Exchange - Leisure Life Pool & Patio","1047 Providence Rd","Whitinsville","Worcester","MA","01588","5082340010","0","","http://www.bluerhino.com","42.12316","-71.64459","1.69053820123015","Propane Tank Exchange; Computer (Recycling); Computer Monitors; Electronics; Laptop Computers; Computer Peripherals; Small Electronics; Small Televisions; Televisions; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Koopman Lumber","Koopman Lumber","665 Church St","Whitinsville","Worcester","MA","01588","5087541731","0","","http://www.call2recycle.org/","42.1224","-71.6473","1.7018627794428","Cell Phones; Ni-Cd Batteries; Li-Ion Batteries; Ni-MH Batteries; Ni-Zn Batteries; Small Sealed Lead Acid Batteries; Computer (Recycling); Computer Monitors; Electronics; Laptop Computers; Computer Peripherals; Small Electronics; Small Televisions; Televisions; Video Game Consoles; PlayStation Consoles","false","true","The U.S. EPA estimates that more than 350 million rechargeable batteries are purchased annually in the U.S. Thanks to the environmental commitment of this location, its easy and free to recycle your batteries. Bring your rechargeable batteries to this location and look for the recycling box or ask an associate how you can do your part for the environment.","","false","false","false","false"
"USPS Post Office Box Lobby Recycling Program","US Post Office","44 Church St","Whitinsville","Worcester","MA","01588","8002758777","0","","https://www.usps.com/","42.11193","-71.66013","2.38893095554766","Catalogs; Greeting Cards; Magazines; Paper (Mixed)","false","true","","","false","false","false","false"
"US Post Office","USPS Discarded Lobby Mail Recycling Program","44 Church St","Whitinsville","Worcester","MA","01588","0","0","","","42.11193","-71.66013","2.38893095554766","Computer (Recycling); Computer Monitors; Electronics; Laptop Computers; Computer Peripherals; Small Electronics; Small Televisions; Televisions; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"USPS Post Office Box Lobby Recycling Program","US Post Office","116 Main St","Upton","Worcester","MA","01568","8002758777","0","","https://www.usps.com/","42.16969","-71.62084","2.39023503262567","Catalogs; Greeting Cards; Magazines; Paper (Mixed)","false","true","","","false","false","false","false"
"US Post Office","USPS Discarded Lobby Mail Recycling Program","116 Main St","Upton","Worcester","MA","01568","0","0","","","42.16969","-71.62084","2.39023503262567","Computer (Recycling); Computer Monitors; Electronics; Laptop Computers; Computer Peripherals; Small Electronics; Small Televisions; Televisions; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"USPS Post Office Box Lobby Recycling Program","US Post Office","136 Main St","Northfield","Franklin","MA","01360","8002758777","0","","https://www.usps.com/","42.11074","-71.67132","2.59230377898535","Catalogs; Greeting Cards; Magazines; Paper (Mixed)","false","true","","","false","false","false","false"
