name,description,address,city,region,province,postal_code,phone,fax,hours,url,latitude,longitude,distance,materials,pickup,dropoff,notes,groups,curbside,municipal,national,event_only
"USPS Post Office Box Lobby Recycling Program","US Post Office","6089 Central Ave","Capitol Heights","Prince Georges","MD","20743","8002758777","0","","https://www.usps.com/","38.87741","-76.85184","0.334809747796388","Catalogs; Greeting Cards; Magazines; Paper (Mixed)","false","true","","","false","false","false","false"
"US Post Office","US Post Office","6089 Central Ave","Capitol Heights","Prince Georges","MD","20743","0","0","","https://www.usps.com/ship/recycle-through-usps.htm","38.87741","-76.85184","0.334809747796388","Inkjet Printer Cartridges; Video Game Consoles; PlayStation Consoles","false","true","Free, postage-paid Mail Back envelopes can be found on display in the lobby. There is no limit to the number of envelopes customers may take. The contents of the envelope must weigh less than 13 ounces and the envelope must be able to seal completely. For more details visit<a href="http://www.maxback.com/mxb-postoffice-collaboration" target="_blank">MaxBack</a>.","","false","false","false","false"
"Home Depot","","150 Hampton Park Blvd","Capitol Heights","","MD","20743","3013240180","0","","https://ecooptions.homedepot.com/","38.8882612","-76.8515556","0.524576764720729","Batteries (Rechargeable); Cell Phone Batteries; Li-Ion Batteries; Ni-Cd Batteries; Ni-MH Batteries; Small Sealed Lead Acid Batteries","false","true","","Call2Recycle","false","false","false","false"
"American Rescue","","716 Ritchie Rd","Capitol Heights","","MD","20743","8884022665","0","","https://www.discoverbooks.com/Default.asp","38.8788288","-76.8575018","0.538547457238671","","false","false","","","false","false","false","false"
"Home Depot","Home Depot","150 Hampton Park Blvd","Capitol Heights","Prince Georges","MD","20743","3013240180","0","","http://www.homedepot.com","38.88856","-76.85286","0.57250797209239","Compact Fluorescent Lights; Batteries (Rechargeable); Video Game Consoles; PlayStation Consoles","false","true","Home Depot accepts compact fluorescent bulbs and used power tool rechargeable batteries. Look for the orange drop boxes, usually located near the front entrance near the customer service desk.","","false","false","false","false"
"Call2Recycle at the Home Depot","Call2Recycle at the Home Depot","150 Hampton Park Blvd","Capitol Heights","Prince Georges","MD","20743","3013240180","0","","http://www.homedepot.com/","38.88856","-76.85286","0.57250797209239","Cell Phones; Compact Fluorescent Lights; Ni-Cd Batteries; Li-Ion Batteries; Ni-MH Batteries; Ni-Zn Batteries; Small Sealed Lead Acid Batteries; Video Game Consoles; PlayStation Consoles","false","true","The Home Depot accepts used rechargeable batteries and compact fluorescent bulbs. Look for the orange drop boxes, usually located near the front entrance near the customer service desk, or ask a store associate for more details.","","false","false","false","false"
"Prince George Universal Recycling","Prince George Universal Recycling","1000 Ritchie Rd","Capitol Heights","Prince Georges","MD","20743","8005537771","0","Monday: 8:00 AM - 5:00 PM Tuesday: 8:00 AM - 5:00 PM Wednesday: 8:00 AM - 5:00 PM Thursday: 8:00 AM - 5:00 PM Friday: 8:00 AM - 5:00 PM ","https://www.wm.com/","38.877","-76.85778","0.602507031163069","Plastic #1 (PETE); Plastic #2 (HDPE); Plastic #2 (Color HDPE); Aluminum Cans; Aluminum; Glass (Brown); Brown Paper Bags; Cardboard; Glass (Clear); Glass (Green); Newspapers; Tin or Steel Cans; Office Paper; Video Game Consoles; PlayStation Consoles","true","true","","","false","false","false","false"
"The Sanctuary","","9133 Central Ave","Capitol Heights","","MD","20743","8884022665","0","","https://www.discoverbooks.com/Default.asp","38.891084","-76.850536","0.696617910713065","","false","false","","","false","false","false","false"
"Rapid Refill","","201B Ritchie Road","Capitol Heights","","MD","20743","3014998932","0","","","38.885993","-76.8619163","0.820137681212795","","false","false","","","false","false","false","false"
"Verizon Wireless","Verizon Wireless","1781 Ritchie Station Ct","Capitol Heights","Prince Georges","MD","20743","3014993480","3014993484","","http://www.verizonwireless.com/","38.87018","-76.85549","0.862416732172151","Cell Phones; Cell Phone Batteries; Video Game Consoles; PlayStation Consoles","false","true","<A Href="https://www.trade-in.vzw.com/home.aspx">
The Verizon Wireless Trade-In Program</A> allows you to trade in your used handset or tablet in a convenient and responsible way. 
<P>
<P>
Verizon Wireless works every day to protect our environment and give our customers opportunities to do the same. <A Href="http://aboutus.vzw.com/Green_Initiative/overview.html">Click here</A> for more examples of the earth-friendly initiatives and programs Verizon Wireless is proud to offer and support.","","false","false","false","false"
"Keep America Beautiful Cars to Donate","","","Largo","","MD","20774","8554262474","0","","https://www.kab.org/?pagename=car_donation","38.8779723","-76.8317325","0.901065724810137","","false","false","","","false","false","false","false"
"BJ's Wholesale Club","","Ritchie Station Ct","Capitol Heights","","MD","20743","8884022665","0","","https://www.discoverbooks.com/Default.asp","38.8672938","-76.8505795","0.971161323972499","","false","false","","","false","false","false","false"
"Shopper's--DC","Shopper's--DC","806 Largo Center Dr","Upper Marlboro","Prince Georges","MD","20774","3018080129","0","","","38.89751","-76.83597","1.29827661103312","Plastic Shopping Bags; Food Storage Bags; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Cap Center","","931 Largo Center Dr","Upper Marlboro","","MD","20774","8884022665","0","","https://www.discoverbooks.com/Default.asp","38.9014962","-76.8378491","1.5039350501486","","false","false","","","false","false","false","false"
"Lowe's","","10440 Campus Way S","Upper Marlboro","","MD","20774","3013506777","0","","https://newsroom.lowes.com/responsibility/operational-excellence/","38.8936975","-76.8247036","1.51989314573859","","false","false","","","false","false","false","false"
"Shoppers","","806 Largo Center Drive","Landover","","MD","20774","3018080129","0","","","38.9014295","-76.8368316","1.52034119312964","","false","false","","","false","false","false","false"
"Target Store","null","10500 Campus Way S","Upper Marlboro","","MD","20774","3013247080","0","","https://corporate.target.com/corporate-responsibility/planet","38.8962324","-76.8272268","1.52382153162068","","false","false","","","false","false","false","false"
"Advance Auto Parts","Advance Auto Parts","954 Largo Center Dr","Largo","Prince Georges","MD","20774","3018080913","0","Monday: 7:00 AM - 9:00 PM Tuesday: 7:00 AM - 9:00 PM Wednesday: 7:00 AM - 9:00 PM Thursday: 7:00 AM - 9:00 PM Friday: 7:00 AM - 9:00 PM Saturday: 7:00 AM - 9:00 PM Sunday: 10:00 AM - 8:00 PM ","http://www.advanceautoparts.com","38.90218","-76.83761","1.55263832141945","Lead Acid (Pb) Batteries; Used Motor Oil; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Call2Recycle at RadioShack","Call2Recycle at RadioShack","920 Largo Center Dr","Upper Marlboro","Prince Georges","MD","20774","3013360259","0","","http://www.radioshack.com/","38.90218","-76.83761","1.55263832141945","Cell Phones; Ni-Cd Batteries; Li-Ion Batteries; Ni-MH Batteries; Ni-Zn Batteries; Small Sealed Lead Acid Batteries; Video Game Consoles; PlayStation Consoles","false","true","As the first national retailer to partner with Call2Recycle, RadioShack is at the forefront of the rechargeable battery recycling cause and is pleased to offer battery recycling at thousands of convenient RadioShack locations for free.  Simply drop them off at your local RadioShack and theyll take care of the rest.  Ask a store associate for more details.","","false","false","false","false"
"Parcel Plus","Parcel Plus","900 Largo Center Dr","Upper Marlboro","Prince Georges","MD","20774","3018082400","0","Monday: 9:00 AM - 8:00 PM Tuesday: 9:00 AM - 8:00 PM Wednesday: 9:00 AM - 8:00 PM Friday: 9:00 AM - 8:00 PM Thursday: 9:00 AM - 7:00 PM Saturday: 10:00 AM - 5:00 PM ","null","38.90218","-76.83761","1.55263832141945","Plastic #7; Cardboard; Packing Peanut (Reuse); Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Staples","Staples","10530 Campus Way South","Largo","Prince George's County","MD","20774","3013365861","0","Monday: 8:00 AM - 9:00 PM Tuesday: 8:00 AM - 9:00 PM Wednesday: 8:00 AM - 9:00 PM Thursday: 8:00 AM - 9:00 PM Friday: 8:00 AM - 9:00 PM Saturday: 9:00 AM - 9:00 PM Sunday: 10:00 AM - 6:00 PM ","https://www.staples.com/recycle","38.8981291","-76.8276774","1.59933617689835","AC Power Plugs; Batteries (Rechargeable); Cables & Connectors; Cell Phone Batteries; Cell Phones; Computer (Recycling); Hard Drives; Computer Monitors; Cameras; DVD Players/Blu-Ray Players/DVRs; Electronics; E-Readers; GPS Units; Headphones; Inkjet Printer Cartridges; Laptop Computers; Laser Toner Cartridges; Li-Ion Batteries; MP3 Players; Network Equipment; Ni-Cd Batteries; Ni-MH Batteries; Ni-Zn Batteries; Computer Peripherals; Portable Media Players; Printers/Scanners/Fax Machines; Small Electronics; Small Sealed Lead Acid Batteries; Stereo Equipment; Tablets; Telephones; UPS Batteries/Backup Systems; VCRs; Video Game Systems; Blu-Ray Players; Digital Converter Boxes; Video Game Consoles; PlayStation Consoles; Alkaline/Single-Use Batteries","false","true","NO TVs; Limit 6 CEDs per day; ","Sony, Vizio, OEM","false","false","false","false"
"Staples","","10530 Campus Way South","Upper Marlboro","","MD","20774","3013365861","0","","https://www.staples.com/sbd/cre/marketing/sustainability-center/recycling-services/","38.8981291","-76.8276774","1.59933617689835","Alkaline/Single-Use Batteries; Batteries (Rechargeable); Cell Phone Batteries; Li-Ion Batteries; Ni-Cd Batteries; Ni-MH Batteries; Small Sealed Lead Acid Batteries; Alkaline/Single-Use Batteries; Button Batteries; Non-rechargeable lithium batteries; Cell Phones","false","true","","Call2Recycle","false","false","false","false"
"Frv Load Site","","8719 Darcy Rd","Forestville","","MD","20747","8884022665","0","","https://www.discoverbooks.com/Default.asp","38.8581348","-76.8540911","1.62743621450076","","false","false","","","false","false","false","false"
