name,description,address,city,region,province,postal_code,phone,fax,hours,url,latitude,longitude,distance,materials,pickup,dropoff,notes,groups,curbside,municipal,national,event_only
"Bear Hill True Value","","163 Jefferson St","Waldoboro","","ME","4572","2078326066","0","","https://www.lamprecycle.org/state-local-laws/maine/","44.0978869","-69.3778383","0.972315231352528","","false","false","","","false","false","false","false"
"USPS Post Office Box Lobby Recycling Program","US Post Office","959 Main St","Waldoboro","Lincoln","ME","04572","8002758777","0","","https://www.usps.com/","44.09609","-69.37329","1.03226758513303","Catalogs; Greeting Cards; Magazines; Paper (Mixed)","false","true","","","false","false","false","false"
"US Post Office","USPS Discarded Lobby Mail Recycling Program","959 Main St","Waldoboro","Lincoln","ME","04572","0","0","","","44.09609","-69.37329","1.03226758513303","Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"USPS Post Office Box Lobby Recycling Program","US Post Office","681 River Rd","South Gardiner","Kennebec","ME","04359","8002758777","0","","https://www.usps.com/","44.00865","-69.20475","10.8367035011072","Catalogs; Greeting Cards; Magazines; Paper (Mixed)","false","true","","","false","false","false","false"
"US Post Office","USPS Discarded Lobby Mail Recycling Program","681 River Rd","South Gardiner","Kennebec","ME","04359","0","0","","","44.00865","-69.20475","10.8367035011072","Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"USPS Post Office Box Lobby Recycling Program","US Post Office","133 Village St","Jefferson","Lincoln","ME","04348","8002758777","0","","https://www.usps.com/","44.22611","-69.52124","10.9246042976202","Catalogs; Greeting Cards; Magazines; Paper (Mixed)","false","true","","","false","false","false","false"
"US Post Office","USPS Discarded Lobby Mail Recycling Program","133 Village St","Jefferson","Lincoln","ME","04348","0","0","","","44.22611","-69.52124","10.9246042976202","Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"USPS Post Office Box Lobby Recycling Program","US Post Office","11 Liberty Rd","Washington","Knox","ME","04574","8002758777","0","","https://www.usps.com/","44.27387","-69.36749","11.262179955438","Catalogs; Greeting Cards; Magazines; Paper (Mixed)","false","true","","","false","false","false","false"
"US Post Office","USPS Discarded Lobby Mail Recycling Program","11 Liberty Rd","Washington","Knox","ME","04574","0","0","","","44.27387","-69.36749","11.262179955438","Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Lowe's","","164 New County Road","Thomaston","","ME","4861","2072264036","0","","https://newsroom.lowes.com/responsibility/operational-excellence/","44.0945282","-69.1428072","11.3425857813598","","false","false","","","false","false","false","false"
