name,description,address,city,region,province,postal_code,phone,fax,hours,url,latitude,longitude,distance,materials,pickup,dropoff,notes,groups,curbside,municipal,national,event_only
"City of El Dorado Springs Recycling Drop-off Location","","135 W Spring St","El Dorado Springs","","MO","64744","6608853393","0","","","37.8770059","-94.0235089","11.0959472653033","","false","false","","","false","false","false","false"
"Foam Fabricators, Inc","","417 W Industrial Dr","El Dorado Springs","","MO","64744","4178766880","0","","http://www.foamfabricatorsinc.com","37.8732771","-94.0324537","11.5089708494631","","false","false","","","false","false","false","false"
"Ezards Ace Hardware","","5816 U.S. 54, Suite 100","Osage Beach","","MO","65065","5733482921","0","","https://www.ameren.com","37.8605512","-93.9605744","11.5860055227199","","false","false","","","false","false","false","false"
"O'Reilly Auto Parts","null","208 W Us Hwy 54 ","El Dorado Springs","","MO","64744","4178765111","0","","http://oreillyauto.custhelp.com/app/error/error_id/6","37.8635454","-94.0217369","11.945739085496","","false","false","","","false","false","false","false"
"Office Depot","Office Depot","16016 E Hwy U ","Stockton","Cedar County","MO","65785","7275317770","0","Monday: 8:00 AM - 8:00 PM Tuesday: 8:00 AM - 8:00 PM Wednesday: 8:00 AM - 8:00 PM Thursday: 8:00 AM - 8:00 PM Friday: 8:00 AM - 8:00 PM Saturday: 9:00 AM - 8:00 PM Sunday: 11:00 AM - 6:00 PM ","http://www.officedepot.com/","37.8125285","-93.9237497","14.9951550343968","Cell Phones; Computer Monitors; Electronics; Inkjet Printer Cartridges; Ni-Cd Batteries; Office Equipment; Batteries (Rechargeable); Laser Toner Cartridges; MP3 Players; Small Televisions; Computer (Recycling); Laptop Computers; Computer Peripherals; Tablets; Video Game Consoles; PlayStation Consoles","false","true","Office Depot offers electronics recycling for a small fee. Visit their Web site for more details and store locations. Recycle cell phones, PDAs, rechargeable batteries and ink and toner cartridges for FREE!","","false","false","false","false"
"Meredith Used Car Sales & Recycling","","207 E 2nd St","Montrose","","MO","64770","6606932334","0","","","38.2544144","-93.9802498","15.6915525802918","","false","false","","","false","false","false","false"
"Meredith Used Car Sales & Recycling","Meredith Used Car Sales & Recycling","207 E 2nd St","Montrose","Henry","MO","64770","6606932334","0","Monday: 8:00 AM - 4:00 PM Tuesday: 8:00 AM - 4:00 PM Wednesday: 8:00 AM - 4:00 PM Thursday: 8:00 AM - 4:00 PM Friday: 8:00 AM - 4:00 PM Saturday: 8:00 AM - 10:30 AM ","http://www.meredithsrecycling.com","38.25588","-93.98311","15.806803407633","Aluminum Cans; Aluminum; Car; Lead Acid (Pb) Batteries; Cell Phones; Computer (Recycling); Electronics; Ferrous Metals (Steel or Iron); Large Household Appliances; Lawn Equipment; Ni-Cd Batteries; Non-ferrous (Copper/Brass/Tin); Batteries (Rechargeable); Tin or Steel Cans; Cell Phone Batteries; Laptop Computers; Wire; Catalytic Converters; Li-Ion Batteries; Non PCB Ballasts; Radiators; Motors; Computer Monitors; Computer Peripherals; Tablets; Video Game Consoles; PlayStation Consoles","true","true","","","false","false","false","false"
"City of Rich Hill Recycling Drop-off Location","","120 N. 7th Street   ","Rich Hill","","MO","64779","4173952223","0","","","38.0972568","-94.3616917","22.644196070491","","false","false","","","false","false","false","false"
"Cedar County Recycling Drop-off Location","","405 Walter Street","Stockton","","MO","65785","6608853393","0","","http://cedarcountymo.gov","37.7027814","-93.8013067","23.9895553811162","","false","false","","","false","false","false","false"
"Walmart Supercenter","","2250 Lincoln Ave","Nevada","","MO","64772","4176673630","0","","https://www.walmart.com/","37.8321601","-94.3264942","24.3677187763873","","false","false","","","false","false","false","false"
"Walmart Tire and Lube Express","","2250 Lincoln Ave","Nevada","","MO","64772","4176673630","0","","https://www.walmart.com/cp/ideas/8932632","37.8321601","-94.3264942","24.3677187763873","","false","false","","","false","false","false","false"
"City of Stockton Recycling Drop-off Location","","201 South High Street","Stockton","","MO","65785","6608853393","0","","http://cedarcountymo.gov","37.6977117","-93.797892","24.3829517845531","","false","false","","","false","false","false","false"
"AutoZone","","2015 E Austin Blvd","Nevada","","MO","64772","4176672299","0","","https://www.autozone.com/landing/page.jsp?name=in-our-stores","37.8370004","-94.3321916","24.4435506587171","","false","false","","","false","false","false","false"
"Napa Auto Parts","Napa Auto Parts","500 MO-32 ","Stockton","Cedar County","MO","65785","4172767200","0","Monday: 8:00 AM - 8:00 PM Tuesday: 8:00 AM - 8:00 PM Wednesday: 8:00 AM - 8:00 PM Thursday: 8:00 AM - 8:00 PM Friday: 8:00 AM - 8:00 PM Saturday: 8:00 AM - 4:00 PM ","http://www.napaautoparts.com","37.6987166","-93.7904443","24.4638240512907","Lead Acid (Pb) Batteries; Computer (Recycling); Computer Monitors; Electronics; Laptop Computers; Computer Peripherals; Tablets; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"AutoZone","AutoZone","2015 E Austin Blvd","Nevada","Vernon","MO","64772","4176672299","0","","http://www.autozone.com","37.83664","-94.33578","24.6217299176009","Lead Acid (Pb) Batteries; Used Motor Oil; Computer (Recycling); Computer Monitors; Electronics; Laptop Computers; Computer Peripherals; Tablets; Video Game Consoles; PlayStation Consoles","false","true","Most AutoZone stores accept used motor oil, transmission fluid, gear oil and automotive batteries. Call to see what your local store is currently accepting.","","false","false","false","false"
"City of Nevada/Vernon County Recycling Drop-off Location","","310 N. Colorado","Nevada","","MO","64772","4174482700","0","","http://www6.nevadamo.org/?&searchbox=1&showDomain=1&tdfs=1","37.8409101","-94.3480893","25.0356966624962","","false","false","","","false","false","false","false"
"Clinton County Trailer Recycling Drop-off Program","","","Clinton","","MO","64735","8163935250","0","","http://www.regiondrecycling.com","38.3686324","-93.7782689","25.3988546335087","","false","false","","","false","false","false","false"
"O'Reilly Auto Parts","null","300 East Austin","Nevada","","MO","64772","4176673375","0","","http://oreillyauto.custhelp.com/app/error/error_id/6","37.8366627","-94.3537432","25.4518157436837","","false","false","","","false","false","false","false"
"O'Reilly Auto Parts","O'Reilly Auto Parts","300 E Austin Blvd ","Nevada","Vernon County","MO","64772","4176673375","0","Monday: 8:00 AM - 8:00 PM Tuesday: 8:00 AM - 8:00 PM Wednesday: 8:00 AM - 8:00 PM Thursday: 8:00 AM - 8:00 PM Friday: 8:00 AM - 8:00 PM Saturday: 8:00 AM - 8:00 PM Sunday: 9:00 AM - 6:00 PM ","http://www.oreillyauto.com/","37.8365765","-94.3537389","25.454723209552","Lead Acid (Pb) Batteries; Used Motor Oil; Computer (Recycling); Computer Monitors; Electronics; Laptop Computers; Computer Peripherals; Tablets; Video Game Consoles; PlayStation Consoles","false","true","Most stores offer Used Oil & Battery Recycling, Battery Testing, 
Electrical & Module Testing, Loaner Tool Program, Drum / Rotor Resurfacing. Call your location for more details.","","false","false","false","false"
"AutoZone","AutoZone","1010 E Ohio St","Clinton","Henry","MO","64735","6608858513","0","","http://www.autozone.com","38.36632","-93.76112","25.6188940174079","Lead Acid (Pb) Batteries; Used Motor Oil; Computer (Recycling); Computer Monitors; Electronics; Laptop Computers; Computer Peripherals; Tablets; Video Game Consoles; PlayStation Consoles","false","true","Most AutoZone stores accept used motor oil, transmission fluid, gear oil and automotive batteries. Call to see what your local store is currently accepting.","","false","false","false","false"
"Walmart Supercenter","","1712 E Ohio St","Clinton","","MO","64735","6608855536","0","","https://www.walmart.com/","38.362909","-93.7506506","25.6447798004867","","false","false","","","false","false","false","false"
"Walmart Tire and Lube Express","","1712 E Ohio St","Clinton","","MO","64735","6608855536","0","","https://www.walmart.com/cp/ideas/8932632","38.362909","-93.7506506","25.6447798004867","","false","false","","","false","false","false","false"
"AutoZone","","1010 E Ohio St","Clinton","","MO","64735","6608858513","0","","https://www.autozone.com/landing/page.jsp?name=in-our-stores","38.365766","-93.7576742","25.6614697189893","","false","false","","","false","false","false","false"
"ClintonTechnologies Unlimited","ClintonTechnologies Unlimited","1832 E Ohio St","Clinton","Henry","MO","64735","6608856224","0","","http://www.radioshack.com/","38.36615","-93.75203","25.8147583127665","Cell Phones; Ni-Cd Batteries; Li-Ion Batteries; Ni-MH Batteries; Ni-Zn Batteries; Small Sealed Lead Acid Batteries; Computer (Recycling); Computer Monitors; Electronics; Laptop Computers; Computer Peripherals; Tablets; Video Game Consoles; PlayStation Consoles","false","true","The U.S. EPA estimates that more than 350 million rechargeable batteries are purchased annually in the U.S. Thanks to the environmental commitment of this location, its easy and free to recycle your batteries. Bring your rechargeable batteries to this location and look for the recycling box or ask an associate how you can do your part for the environment.","","false","false","false","false"
"City of Clinton Recycling Drop-off Location","","1810 E Ohio St ","Clinton","","MO","64735","6608853393","0","","https://www.clintonmo.com","38.3646037","-93.7477542","25.818438857096","","false","false","","","false","false","false","false"
"Walmart Tire & Lube Express","Walmart Tire & Lube Express","1712 E Ohio St","Clinton","Henry","MO","64735","6608855536","0","","http://www.walmart.com/catalog/catalog.gsp?cat=495843","38.36614","-93.75167","25.8224750470794","Lead Acid (Pb) Batteries; Used Motor Oil; Oil Filters; Computer (Recycling); Computer Monitors; Electronics; Laptop Computers; Computer Peripherals; Tablets; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"O'Reilly Auto Parts","null"," 1800 E Ohio Street","Clinton","","MO","64735","6608855524","0","","http://oreillyauto.custhelp.com/app/error/error_id/6","38.3701102","-93.7603483","25.8748655359666","","false","false","","","false","false","false","false"
"Walgreens","Walgreens","412 Pawnee St","Clinton","Henry","MO","64735","6608854020","0","","http://www.walgreens.com","38.36584","-93.74636","25.9282686082042","Cell Phones; Inkjet Printer Cartridges; Computer (Recycling); Computer Monitors; Electronics; Laptop Computers; Computer Peripherals; Tablets; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"City of Butler Recycling Drop-off Location","","22 W Ohio ","Butler","","MO","64730","6608853393","0","","https://mo-butler.civiccities.com/index.aspx?nid=157","38.2587306","-94.3327838","25.9927716867816","","false","false","","","false","false","false","false"
