name,description,address,city,region,province,postal_code,phone,fax,hours,url,latitude,longitude,distance,materials,pickup,dropoff,notes,groups,curbside,municipal,national,event_only
"Waste Management","Waste Management","1016 11th Ave S","Wahpeton","Richland","ND","58075","7016428403","0","","","46.25395","-96.61575","15.2505146024956","Plastic #1 (PETE); Plastic #2 (HDPE); Plastic #2 (Color HDPE); Aluminum Cans; Cardboard; Newspapers; Phone books; Tin or Steel Cans; Office Paper; Video Game Consoles; PlayStation Consoles","true","true","Call ahead for directions to recycling bins.","","false","false","false","false"
"Call2Recycle at Minn-Kota Communications","Call2Recycle at Minn-Kota Communications","7940 178th Ave SE","Wahpeton","Richland","ND","58075","7016429229","0","","http://www.minn-kota.net/","46.25905","-96.67851","15.5372110215833","Cell Phones; Ni-Cd Batteries; Li-Ion Batteries; Ni-MH Batteries; Ni-Zn Batteries; Small Sealed Lead Acid Batteries; Video Game Consoles; PlayStation Consoles","false","true","The U.S. EPA estimates that more than 350 million rechargeable batteries are purchased annually in the U.S. Thanks to the environmental commitment of this location, its easy and free to recycle your batteries. Bring your rechargeable batteries to this location and look for the recycling box or ask an associate how you can do your part for the environment.","","false","false","false","false"
"Wilkin County Recycle Center","","U.S. 75 & 7th St S","Breckenridge","","MN","56520","2186435815","0","","https://www.co.wilkin.mn.us","46.2574368","-96.5850864","15.7307170018019","","false","false","","","false","false","false","false"
"Wilkin County Sheriff","","515 Dacotah Ave","Breckenridge","","MN","56520","0","0","","https://www.pca.state.mn.us/living-green/managing-unwanted-medications","46.2602556","-96.5869285","15.9031507816981","","false","false","","","false","false","false","false"
"JCPenney","","413 Dakota Ave","Wahpeton","","ND","58075","7016424131","0","","https://www.jcpenney.com/","46.2636428","-96.6061203","15.9750786671118","","false","false","","","false","false","false","false"
"Wilkin County Household Hazardous Waste Collection Program","","","Breckenridge","","MN","56520","2186435815","0","","https://www.co.wilkin.mn.us","46.2627778","-96.5869443","16.0736980097537","","false","false","","","false","false","false","false"
"City of Wahpeton Compost & Yard Waste Drop-off Program","","County Highway 5","Breckenridge","","ND","56520","7014773610","0","","https://www.ndswra.org/dnn/","46.2744617","-96.5914076","16.8260800805336","","false","false","","","false","false","false","false"
"Walmart Supercenter","","1625 Commerce Dr","Wahpeton","","ND","58075","7016429086","0","","https://www.walmart.com/","46.2836633","-96.6299431","17.2316760960658","","false","false","","","false","false","false","false"
"Call2Recycle at Fastenal","Call2Recycle at Fastenal","502 Grace Ave","Breckenridge","Wilkin","MN","56520","2186431800","0","","https://www.fastenal.com/","46.28253","-96.58885","17.3963758696139","Cell Phones; Ni-Cd Batteries; Li-Ion Batteries; Ni-MH Batteries; Ni-Zn Batteries; Small Sealed Lead Acid Batteries; Computer (Recycling); Computer Monitors; DVD Players/Blu-Ray Players/DVRs; Electronics; Laptop Computers; Computer Peripherals; Printers/Scanners/Fax Machines; Small Electronics; Small Televisions; Tablets; Televisions; VCRs; Video Game Consoles; PlayStation Consoles","false","true","The U.S. EPA estimates that more than 350 million rechargeable batteries are purchased annually in the U.S. Thanks to the environmental commitment of this location, its easy and free to recycle your batteries. Bring your rechargeable batteries to this location and look for the recycling box or ask an associate how you can do your part for the environment.","","false","false","false","false"
"Walmart","Walmart","1625 Commerce St","Wahpeton","Richland","ND","58075","7016429086","0","","http://www.walmart.com","46.28733","-96.61667","17.5376726854","Lead Acid (Pb) Batteries; Plastic Shopping Bags; Food Storage Bags; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Traverse County Household Hazardous Waste Collection Event","","","Wheaton","","MN","56296","3205634411","0","","https://www.co.traverse.mn.us/","45.8044052","-96.499233","17.5702934192111","","false","false","","","false","false","false","false"
