name,description,address,city,region,province,postal_code,phone,fax,hours,url,latitude,longitude,distance,materials,pickup,dropoff,notes,groups,curbside,municipal,national,event_only
"USPS Post Office Box Lobby Recycling Program","US Post Office","18 Lake Tarleton Rd Unit 1","Warren","Grafton","NH","03279","8002758777","0","","https://www.usps.com/","43.92384","-71.89205","0.122030290611204","Catalogs; Greeting Cards; Magazines; Paper (Mixed)","false","true","","","false","false","false","false"
"US Post Office","USPS Discarded Lobby Mail Recycling Program","18 Lake Tarleton Rd Unit 1","Warren","Grafton","NH","03279","0","0","","","43.92384","-71.89205","0.122030290611204","Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Warren Transfer Station","","Pine Hill Rd","Warren","","NH","3279","6037862882","0","","https://www.afternic.com/forsale/nh.com?utm_source=TDFS&utm_medium=sn_affiliate_click&utm_campaign=TDFS_Affiliate_namefind_direct8&traffic_type=CL3&traffic_id=Namefind","43.9444965","-71.899408","1.37145782975977","","false","false","","","false","false","false","false"
"USPS Post Office Box Lobby Recycling Program","US Post Office","621 NH Route 10","Orford","Grafton","NH","03777","8002758777","0","","https://www.usps.com/","43.89855","-72.09073","10.0993153928505","Catalogs; Greeting Cards; Magazines; Paper (Mixed)","false","true","","","false","false","false","false"
"US Post Office","USPS Discarded Lobby Mail Recycling Program","621 NH Route 10","Orford","Grafton","NH","03777","0","0","","","43.89855","-72.09073","10.0993153928505","Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Call2Recycle at Orford Conservation Commission","Call2Recycle at Orford Conservation Commission","2529 Gov Meldrim Thomson Scenic Hwy","Orford","Grafton","NH","03777","6033534880","0","","http://orfordnh.us/","43.89007","-72.09011","10.1943799642188","Cell Phones; Ni-Cd Batteries; Li-Ion Batteries; Ni-MH Batteries; Ni-Zn Batteries; Small Sealed Lead Acid Batteries; Video Game Consoles; PlayStation Consoles","false","true","The U.S. EPA estimates that more than 350 million rechargeable batteries are purchased annually in the U.S. Thanks to the environmental commitment of this location, its easy and free to recycle your batteries. Bring your rechargeable batteries to this location and look for the recycling box or ask an associate how you can do your part for the environment.","","false","false","false","false"
"Blue Rhino Exchange - Wayne's Market","Blue Rhino Exchange - Wayne's Market","3262 US-3 ","Thornton","Grafton County","NH","03285","6037458819","0","","http://www.bluerhino.com","43.9227002","-71.6858871","10.2240590495333","Propane Tank Exchange; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"USPS Post Office Box Lobby Recycling Program","US Post Office","630 Dartmouth College Hwy","Haverhill","Grafton","NH","03765","8002758777","0","","https://www.usps.com/","44.03373","-72.0512","10.9124999877978","Catalogs; Greeting Cards; Magazines; Paper (Mixed)","false","true","","","false","false","false","false"
"US Post Office","USPS Discarded Lobby Mail Recycling Program","630 Dartmouth College Hwy","Haverhill","Grafton","NH","03765","0","0","","","44.03373","-72.0512","10.9124999877978","Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Campton Thornton Transfer Station","Campton Thornton Transfer Station","1629 NH-175 ","Thornton","Grafton County","NH","03285","6037267713","0","","http://www.angelfire.com/","43.8948608","-71.6644529","11.4884706977628","Cell Phones; Ni-Cd Batteries; Li-Ion Batteries; Ni-MH Batteries; Ni-Zn Batteries; Small Sealed Lead Acid Batteries; Video Game Consoles; PlayStation Consoles; Batteries (Rechargeable); Cell Phone Batteries; Li-Ion Batteries; Ni-Cd Batteries; Ni-MH Batteries; Small Sealed Lead Acid Batteries; Cell Phones","false","true","The U.S. EPA estimates that more than 350 million rechargeable batteries are purchased annually in the U.S. Thanks to the environmental commitment of this location, its easy and free to recycle your rechargeable batteries. Look for the recycling box or ask a staff member how you can do your part for the environment.","Call2Recycle","false","false","false","false"
"Oakes Lumber & Hardware","Oakes Lumber & Hardware","975 Lower Plain","Bradford","Orange ","VT","05033","8022225280","0","","","43.9801008562793","-72.1199304537069","11.9803717126247","Alkaline/Single-Use Batteries; Batteries (Rechargeable); Button Batteries; Cell Phone Batteries; Li-Ion Batteries; Ni-Cd Batteries; Ni-MH Batteries; Ni-Zn Batteries; Small Sealed Lead Acid Batteries; Non-rechargeable lithium batteries","false","true","Call or Check Online for Hours","Call2Recycle","false","false","false","false"
"Blue Rhino Exchange - Bradford Oil Co. - Bradford GoGo Mart","Blue Rhino Exchange - Bradford Oil Co. - Bradford GoGo Mart","530 Waits River Rd","Bradford","Orange","VT","05033","8022229294","0","","http://www.bluerhino.com","43.98162","-72.12109","12.0682863667939","Propane Tank Exchange; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Campton/Thornton Transfer Station & Recycling Center","","1629 Route 175","Thornton","","NH","3223","6037267713","0","","http://www.townofthornton.org/","43.8775736","-71.6543932","12.2503310448213","","false","false","","","false","false","false","false"
"USPS Post Office Box Lobby Recycling Program","US Post Office","181 Dorchester Rd Unit 3","Lyme Center","Grafton","NH","03769","8002758777","0","","https://www.usps.com/","43.79467","-72.06561","12.5351630917772","Catalogs; Greeting Cards; Magazines; Paper (Mixed)","false","true","","","false","false","false","false"
"US Post Office","USPS Discarded Lobby Mail Recycling Program","181 Dorchester Rd Unit 3","Lyme Center","Grafton","NH","03769","0","0","","","43.79467","-72.06561","12.5351630917772","Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"RED CLOVER BIKES","RED CLOVER BIKES","446 US ROUTE 5 N","Fairlee","Orange ","VT","05045","8022224748","0","","","43.907664","-72.1420766421924","12.5414436317298","E-Bike Batteries","false","true","Call or Check Online for Hours","Call2Recycle","false","false","false","false"
"Blue Rhino Exchange - Wilson's Mobil Service","Blue Rhino Exchange - Wilson's Mobil Service","121 Main St ","Woodstock","Grafton County","NH","03262","6037458762","0","","http://www.bluerhino.com","44.0319893","-71.6866679","12.5545617871779","Propane Tank Exchange; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"USPS Post Office Box Lobby Recycling Program","US Post Office","159 Main St Unit A","N Woodstock","Grafton","NH","03262","8002758777","0","","https://www.usps.com/","44.03335","-71.68662","12.6117004111978","Catalogs; Greeting Cards; Magazines; Paper (Mixed)","false","true","","","false","false","false","false"
"USPS Post Office Box Lobby Recycling Program","US Post Office","159 Main St Unit A","North Woodstock","Grafton","NH","03262","8002758777","0","","https://www.usps.com/","44.03335","-71.68662","12.6117004111978","Catalogs; Greeting Cards; Magazines; Paper (Mixed)","false","true","","","false","false","false","false"
"US Post Office","USPS Discarded Lobby Mail Recycling Program","159 Main St Unit A","North Woodstock","Grafton","NH","03262","0","0","","","44.03335","-71.68662","12.6117004111978","Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Bradford Transfer Station","Bradford Transfer Station","314 Fairground Rd ","","Orange County","VT","05033","0","0","Wednesday: 8:00 AM - 4:00 PM Saturday: 8:00 AM - 4:00 PM ","http://earthwastesystems.com/","44.004803","-72.1207809","12.6579080149267","Aluminum Cans; Bed Mattresses; Book Recycling; Cardboard; Cell Phones; Computer (Recycling); Computer Monitors; Computer Paper; DVD Players/Blu-Ray Players/DVRs; Furniture; Glass (Blue); Glass (Brown); Glass (Clear); Glass (Green); Laptop Computers; Large Household Appliances; Magazines; MP3 Players; Newspapers; Office Paper; Paper (Mixed); Computer Peripherals; Plastic #1 (PETE); Plastic #2 (HDPE); Plastic #3 (PVC); Plastic #4 (LDPE); Plastic #5 (Polypropylene); Plastic #6 (Polystyrene); Plastic #7; Printers/Scanners/Fax Machines; Refrigerators; Servers; Small Appliances; Small Televisions; Speakers; Tablets; Televisions; Tin or Steel Cans; Unused Paper; Used Tires; VCRs; Batteries (Rechargeable); Lead Acid (Pb) Batteries; Propane Tanks; Scrap Metal; Small Sealed Lead Acid Batteries; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Bradford Recycling Depot","","143 Fairground Road","Bradford","","VT","5033","8027757722","0","","","44.0026079","-72.1224734","12.6695333811452","","false","false","","","false","false","false","false"
"USPS Post Office Box Lobby Recycling Program","US Post Office","41 Barton St","Bradford","Orange","VT","05033","8002758777","0","","https://www.usps.com/","43.99379","-72.12778","12.671088237105","Catalogs; Greeting Cards; Magazines; Paper (Mixed)","false","true","","","false","false","false","false"
"US Post Office","USPS Discarded Lobby Mail Recycling Program","41 Barton St","Bradford","Orange","VT","05033","0","0","","","43.99379","-72.12778","12.671088237105","Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"USPS Post Office Box Lobby Recycling Program","US Post Office","21 School St","Fairlee","Orange","VT","05045","8002758777","0","","https://www.usps.com/","43.9059","-72.1469","12.7928832295912","Catalogs; Greeting Cards; Magazines; Paper (Mixed)","false","true","","","false","false","false","false"
"US Post Office","USPS Discarded Lobby Mail Recycling Program","21 School St","Fairlee","Orange","VT","05045","0","0","","","43.9059","-72.1469","12.7928832295912","Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Walmart Tire & Lube Express","Walmart Tire & Lube Express","683 Tenney Mountain Hwy","Plymouth","Grafton","NH","03264","6035365352","0","","http://www.walmart.com/catalog/catalog.gsp?cat=495843","43.77089","-71.74749","12.8642034510815","Lead Acid (Pb) Batteries; Used Motor Oil; Oil Filters; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Walmart","Walmart","683 Tenney Mountain Hwy","Plymouth","Grafton","NH","03264","6035365352","0","","http://www.walmart.com","43.77089","-71.74749","12.8642034510815","Lead Acid (Pb) Batteries; Plastic Shopping Bags; Food Storage Bags; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Blue Rhino Exchange - Walmart #2758 - Supercenter","Blue Rhino Exchange - Walmart #2758 - Supercenter","683 Tenney Mountain Hwy","Plymouth","Grafton","NH","03264","6035365352","0","","http://www.bluerhino.com","43.77089","-71.74749","12.8642034510815","Propane Tank Exchange; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Blue Rhino Exchange - Odesa Corp - Champlain Farms Texaco","Blue Rhino Exchange - Odesa Corp - Champlain Farms Texaco","51 Lake Morey Rd","Fairlee","Orange","VT","05045","8023333538","0","","http://www.bluerhino.com","43.90464","-72.15065","12.9880016332497","Propane Tank Exchange; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Wireless Zone","Wireless Zone","594 Tenney Mountain Hwy","Plymouth","Grafton","NH","03264","6035366090","0","","http://www.wirelesszone.com","43.77111","-71.74241","12.994406856481","Cell Phones; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Walmart Supercenter","","683 Tenney Mountain Hwy","Plymouth","","NH","3264","6035365352","0","","https://www.walmart.com/","43.7691401","-71.7422241","13.1116902125236","","false","false","","","false","false","false","false"
"Walmart Tire and Lube Express","null","683 Tenney Mountain Hwy","Plymouth","","NH","03264","6035365352","0","","https://www.walmart.com/cp/ideas/8932632","43.7691401","-71.7422241","13.1116902125236","","false","false","","","false","false","false","false"
"USPS Post Office Box Lobby Recycling Program","US Post Office","2730 Dartmouth College Hwy","North Haverhill","Grafton","NH","03774","8002758777","0","","https://www.usps.com/","44.0892","-72.02618","13.1454005202343","Catalogs; Greeting Cards; Magazines; Paper (Mixed)","false","true","","","false","false","false","false"
"US Post Office","USPS Discarded Lobby Mail Recycling Program","2730 Dartmouth College Hwy","North Haverhill","Grafton","NH","03774","0","0","","","44.0892","-72.02618","13.1454005202343","Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"USPS Post Office Box Lobby Recycling Program","US Post Office","11 Southmayd St","Campton","Grafton","NH","03223","8002758777","0","","https://www.usps.com/","43.85142","-71.64339","13.3639502003063","Catalogs; Greeting Cards; Magazines; Paper (Mixed)","false","true","","","false","false","false","false"
"US Post Office","USPS Discarded Lobby Mail Recycling Program","11 Southmayd St","Campton","Grafton","NH","03223","0","0","","","43.85142","-71.64339","13.3639502003063","Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Lincoln Woodstock Recycling Center","","63 Recycle Rd","Lincoln","","NH","3251","6037456626","0","","https://www.lincolnnh.org","44.0394064","-71.673398","13.388928522747","","false","false","","","false","false","false","false"
"Blue Rhino Exchange - Campton Corners Convenience Mart","Blue Rhino Exchange - Campton Corners Convenience Mart","11 Vintinner Rd ","Campton","Grafton County","NH","03223","6037267300","0","","http://www.bluerhino.com","43.8503859","-71.6433466","13.3935747753682","Propane Tank Exchange; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"USPS Post Office Box Lobby Recycling Program","US Post Office","4982 Main St N","Newbury","Orange","VT","05051","8002758777","0","","https://www.usps.com/","44.07993","-72.0569","13.4733228381877","Catalogs; Greeting Cards; Magazines; Paper (Mixed)","false","true","","","false","false","false","false"
"US Post Office","USPS Discarded Lobby Mail Recycling Program","4982 Main St N","Newbury","Orange","VT","05051","0","0","","","44.07993","-72.0569","13.4733228381877","Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Blue Rhino Exchange - Campton Cupboard","Blue Rhino Exchange - Campton Cupboard","1315 NH-175 ","Campton","Grafton County","NH","03223","6037268903","0","","http://www.bluerhino.com","43.8632753","-71.6342816","13.4999700895421","Propane Tank Exchange; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Blue Rhino Exchange - Maddock Market","Blue Rhino Exchange - Maddock Market","235 Yeaton Rd","Plymouth","Grafton","NH","03264","6035368277","0","","http://www.bluerhino.com","43.75615","-71.75266","13.5893782675055","Propane Tank Exchange; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Price Chopper Supermarkets","","10 Paper Mill Dr","Lincoln","","NH","3251","6037453969","0","","","44.041286","-71.669996","13.601944601309","","false","false","","","false","false","false","false"
"Blue Rhino Exchange - Aldrich General Store","Blue Rhino Exchange - Aldrich General Store","3039 Dartmouth College Hwy ","Haverhill","Grafton County","NH","03774","6037876241","0","","http://www.bluerhino.com","44.097554","-72.0251758","13.620425513686","Propane Tank Exchange; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Pemi-Baker HHW Program Information","Pemi-Baker HHW Program Information","56 Beech Hill Rd ","Plymouth","Grafton County","NH","03264","6038386822","0","","http://www.des.state.nh.us/hhw/hhwevent.htm","43.7794721","-71.7017961","13.8191921994563","Glue & Adhesives; Antifreeze; Brake Fluid; Degreasers; Fertilizer; Fungicides; Gasoline and Unwanted Fuels; Herbicides; Household Cleaners; Insecticides; Mercury Containing Items; Ni-Cd Batteries; Unused Paint; Paint Thinner; Pesticides; Photography Chemicals; Pool Chemicals; Batteries (Rechargeable); Solvents; Transmission Fluid; Used Motor Oil","false","true","This site is located at the Plymouth Recycling Center on 56 Beech Hill Road in Plymouth, and is open to the residents of Ashland, Campton, Danbury, Dorchester, Easton, Ellsworth, Franconia, Groton, Landaff, Lisbon, Littleton, Lyman, Plymouth, Rumney, Sugar Hill, Thornton, Warren, Waterville Valley, and Wentworth.  This site will also allow a limited number of residents, from non-participating communities, to drop-off wastes during their collection for emergency situations only and with approval by the department.  Call the organizer prior to the collection date.  Up to ten gallons of liquid HHW materials or 100 pounds of dry HHW materials will be accepted from each resident.  This event will also accept craft and hobby supplies.","","false","false","false","false"
"Plymouth Recycling Center","","56 Beech Hill Rd","Plymouth","","NH","3264","6035362378","0","","http://www.plymouth-nh.org","43.7794251","-71.7015998","13.8282489351099","","false","false","","","false","false","false","false"
"Blue Rhino Exchange - Kelley's Food Town","Blue Rhino Exchange - Kelley's Food Town","347 Main St ","Franconia","Grafton County","NH","03580","6038237795","0","","http://www.bluerhino.com","44.0478333","-71.6638895","14.1142219925581","Propane Tank Exchange; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Call2Recycle at RadioShack","Call2Recycle at RadioShack","389 Tenney Mountain Hwy Ste 3","Plymouth","Grafton","NH","03264","6035361724","0","","http://www.radioshack.com/","43.77419","-71.69955","14.1634045882075","Cell Phones; Ni-Cd Batteries; Li-Ion Batteries; Ni-MH Batteries; Ni-Zn Batteries; Small Sealed Lead Acid Batteries; Video Game Consoles; PlayStation Consoles","false","true","As the first national retailer to partner with Call2Recycle, RadioShack is at the forefront of the rechargeable battery recycling cause and is pleased to offer battery recycling at thousands of convenient RadioShack locations for free.  Simply drop them off at your local RadioShack and theyll take care of the rest.  Ask a store associate for more details.","","false","false","false","false"
"RadioShack","RadioShack","389 Tenney Mountain Hwy Ste 3","Plymouth","Grafton","NH","03264","6035361724","0","Monday: 10:00 AM - 7:00 PM Tuesday: 10:00 AM - 7:00 PM Wednesday: 10:00 AM - 7:00 PM Thursday: 10:00 AM - 7:00 PM Friday: 10:00 AM - 8:00 PM Saturday: 10:00 AM - 7:00 PM Sunday: 11:00 AM - 6:00 PM ","http://www.radioshack.com","43.77419","-71.69955","14.1634045882075","Ni-Cd Batteries; Batteries (Rechargeable); Cell Phone Batteries; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
