name,description,address,city,region,province,postal_code,phone,fax,hours,url,latitude,longitude,distance,materials,pickup,dropoff,notes,groups,curbside,municipal,national,event_only
"Safeway","","U.S. 95 & Armory Road","Hawthorne","","NV","89415","7759452159","0","","https://shop.safeway.com/home.html","38.5363871","-118.6307569","35.2399811907292","","false","false","","","false","false","false","false"
"Hawthorne Landfill","","Corey View Dr","Hawthorne","","NV","89415","7759452486","0","","https://ndep.nv.gov","38.5048219","-118.6498525","36.9176475390138","","false","false","","","false","false","false","false"
"USPS Post Office Box Lobby Recycling Program","US Post Office","701 6th St","Hawthorne","Mineral","NV","89415","8002758777","0","","https://www.usps.com/","38.60153","-118.71267","38.532640423199","Catalogs; Greeting Cards; Magazines; Paper (Mixed)","false","true","","","false","false","false","false"
"US Post Office","USPS Discarded Lobby Mail Recycling Program","701 6th St","Hawthorne","Mineral","NV","89415","0","0","","","38.60153","-118.71267","38.532640423199","Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Ford-Mercury of Tonopah","Ford-Mercury of Tonopah","325 N Main St ","Tonopah","Nye County","NV","89049","7754826943","0","Monday: 8:00 AM - 5:00 PM Tuesday: 8:00 AM - 5:00 PM Wednesday: 8:00 AM - 5:00 PM Thursday: 8:00 AM - 5:00 PM Friday: 8:00 AM - 5:00 PM ","","38.070931","-117.2335275","59.7011999696237","Used Motor Oil; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Benton Transfer Station","","Christie Ln","Benton","","CA","93512","7609325440","0","","https://www.calrecycle.ca.gov/UsedOil/","37.8183105","-118.4738343","65.1201401701102","","false","false","","","false","false","false","false"
"Benton Transfer Station","","400 Christie Ln","Benton","","CA","93546","7609325440","0","","https://www.monocounty.ca.gov/solid-waste/page/landfills-and-transfer-stations","37.8183105","-118.4738343","65.1201401701102","","false","false","","","false","false","false","false"
"USPS Post Office Box Lobby Recycling Program","US Post Office","811 S Main St","Yerington","Lyon","NV","89447","8002758777","0","","https://www.usps.com/","38.97661","-119.16336","65.3827632990704","Catalogs; Greeting Cards; Magazines; Paper (Mixed)","false","true","","","false","false","false","false"
"US Post Office","USPS Discarded Lobby Mail Recycling Program","811 S Main St","Yerington","Lyon","NV","89447","0","0","","","38.97661","-119.16336","65.3827632990704","Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"USPS Post Office Box Lobby Recycling Program","US Post Office","26 N Main St","Yerington","Lyon","NV","89447","8002758777","0","","https://www.usps.com/","38.98735","-119.16309","65.5956914623929","Catalogs; Greeting Cards; Magazines; Paper (Mixed)","false","true","","","false","false","false","false"
"US Post Office","USPS Discarded Lobby Mail Recycling Program","26 N Main St","Yerington","Lyon","NV","89447","0","0","","","38.98735","-119.16309","65.5956914623929","Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"O'Reilly Auto Parts","O'Reilly Auto Parts","522 West Goldfield Avenue","Yerington","Lyon","NV","89447","7754632910","0","","http://www.oreillyauto.com/","38.99401","-119.16986","66.0850056472919","Lead Acid (Pb) Batteries; Used Motor Oil; Video Game Consoles; PlayStation Consoles","false","true","Most stores offer Used Oil & Battery Recycling, Battery Testing, 
Electrical & Module Testing, Loaner Tool Program, Drum / Rotor Resurfacing. Call your location for more details.","","false","false","false","false"
