name,description,address,city,region,province,postal_code,phone,fax,hours,url,latitude,longitude,distance,materials,pickup,dropoff,notes,groups,curbside,municipal,national,event_only
"Fredericksburg Village Recycling Drop-Off Site","","160 W Clay St","Fredericksburg","","OH","44627","8006789839","0","","https://www.timetorecycle.org/404-2/","40.6756208","-81.8714539","1.25313644460577","","false","false","","","false","false","false","false"
"PSC Metals, Inc.","","877 Old Lincoln Way West","Wooster","","OH","44691","3302630984","0","","https://www.pscmetals.com/","40.7998266","-81.9519511","10.2447474442222","","false","false","","","false","false","false","false"
"City of Wooster Recycling Drop-Off Site - College of Wooster","","1189 Beall Avenue","Wooster","","OH","44691","8006789839","0","","https://www.timetorecycle.org/404-2/","40.8101945","-81.9346755","10.4315455034994","","false","false","","","false","false","false","false"
"Walmart Supercenter","","1640 S Washington St","Millersburg","","OH","44654","3306742888","0","","https://www.walmart.com/","40.5334605","-81.9195484","10.4426420612308","","false","false","","","false","false","false","false"
"Walmart Tire and Lube Express","","1640 S Washington St","Millersburg","","OH","44654","3306742888","0","","https://www.walmart.com/cp/ideas/8932632","40.5334605","-81.9195484","10.4426420612308","","false","false","","","false","false","false","false"
"Tractor Supply","Tractor Supply","1720 S Washington St ","Millersburg","Holmes County","OH","44654","3306741039","0","","http://www.tractorsupply.com","40.5312395","-81.9196564","10.5879061311288","Transmission Fluid; Used Motor Oil; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Tractor Supply","","1720 South Washington Street","Millersburg","","OH","44654","3306741039","0","","https://www.tractorsupply.com/","40.5311766","-81.9196337","10.5915413412952","","false","false","","","false","false","false","false"
"Tricor Industrail Inc.","","823 West Bowman Street","Wooster","","OH","44691","3302643299","0","","https://www.truevalue.com/","40.805512","-81.9555699","10.678049582369","","false","false","","","false","false","false","false"
"Metallics Recycling Drive-Thru Drop-Off","Metallics Recycling Drive-Thru Drop-Off","1350 Old Mansfield Rd ","Wooster","Wayne County","OH","44691","3302642267","0","Monday: 8:00 AM - 4:20 PM Tuesday: 8:00 AM - 4:20 PM Wednesday: 8:00 AM - 4:20 PM Thursday: 8:00 AM - 4:20 PM Friday: 8:00 AM - 4:20 PM ","","40.8047038","-81.9588227","10.7222420731485","Aluminum Cans; Aluminum; Car; Ferrous Metals (Steel or Iron); Large Household Appliances; Non-ferrous (Copper/Brass/Tin); Tin or Steel Cans; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Goodwill Industries of Wayne and Holmes Counties Inc. - Dell Reconnect Donation Site","","1700 Old Mansfield Rd","Wooster","","OH","44691","3302641300","0","","https://www.goodwillconnect.org/","40.8019881","-81.9663399","10.7871247528628","","false","false","","","false","false","false","false"
"PSC Metals, Inc.","","1375 Old Mansfield Rd","Wooster","","OH","44691","3302645455","0","","https://www.pscmetals.com/","40.8068488","-81.9606413","10.8983309034347","","false","false","","","false","false","false","false"
"Waste Parchment Inc.","Waste Parchment Inc.","4510 Township Road 307","Millersburg","Holmes","OH","44654","3306746868","0","","http://www.cuyahogaswd.org/business/guide_index.shtml","40.53822","-81.95569","10.9843573809423","Book Recycling; Video Game Consoles; PlayStation Consoles","false","true","This site only accepts hard back books and will pick them up from schools, libraries, and businesses.  Additional materials are collected at different times of the year, please call for more details.","","false","false","false","false"
"Tractor Supply","Tractor Supply","1981 Portage Rd","Wooster","Wayne","OH","44691","3302622000","0","","http://www.tractorsupply.com","40.82829","-81.91205","11.1554262852103","Transmission Fluid; Used Motor Oil; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"West Holmes High School Drop-Off Site","West Holmes High School Drop-Off Site","10909 State Route 39","Millersburg","Holmes","OH","44654","3306748104","0","","","40.57608","-82.01853","11.2462604130907","Plastic #1 (PETE); Plastic #2 (HDPE); Plastic #2 (Color HDPE); Aluminum Cans; Aluminum; Glass (Brown); Lead Acid (Pb) Batteries; Cardboard; Catalogs; Glass (Clear); Ferrous Metals (Steel or Iron); Gift Boxes; Glass (Green); Greeting Cards; Magazines; Paper (Mixed); Newspapers; Ni-Cd Batteries; Non-ferrous (Copper/Brass/Tin); Paperboard; Phone books; Alkaline/Single-Use Batteries; Tin or Steel Cans; Office Paper; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"West Holmes Middle School Drop-Off Site","West Holmes Middle School Drop-Off Site","10901 State Route 39","Millersburg","Holmes","OH","44654","3306748104","0","","","40.57608","-82.01853","11.2462604130907","Plastic #1 (PETE); Plastic #2 (HDPE); Plastic #2 (Color HDPE); Aluminum Cans; Aluminum; Glass (Brown); Lead Acid (Pb) Batteries; Cardboard; Catalogs; Glass (Clear); Ferrous Metals (Steel or Iron); Gift Boxes; Glass (Green); Greeting Cards; Magazines; Paper (Mixed); Newspapers; Ni-Cd Batteries; Non-ferrous (Copper/Brass/Tin); Paperboard; Phone books; Alkaline/Single-Use Batteries; Tin or Steel Cans; Office Paper; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Stark County Christmas Tree Drop-off - Wilmot Village","","U.S. 250","Wilmot","","OH","44689","8006789839","0","","https://www.timetorecycle.org/","40.6558882","-81.6320769","11.3666720283784","","false","false","","","false","false","false","false"
"Monro","Monro","2781 Cleveland Rd","Wooster","Wayne","OH","44691","3303456310","0","Monday: 7:30 AM - 7:00 PM Tuesday: 7:30 AM - 7:00 PM Wednesday: 7:30 AM - 7:00 PM Thursday: 7:30 AM - 7:00 PM Friday: 7:30 AM - 7:00 PM Saturday: 7:30 AM - 4:00 PM ","http://monro.com","40.83382","-81.9295","11.8198779601517","Used Motor Oil; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Dalton Village Recycling Drop-Off Site","","47 South Freet Street","Dalton","","OH","44618","8006789839","0","","https://www.timetorecycle.org/404-2/","40.797431","-81.6905998","11.8244229864134","","false","false","","","false","false","false","false"
"Call2Recycle at Keim Lumber Company","Call2Recycle at Keim Lumber Company","4465 OH-557 ","Millersburg","Holmes County","OH","44654","3308932251","0","Monday: 7:00 AM - 7:00 PM Tuesday: 7:00 AM - 4:30 PM Wednesday: 7:00 AM - 4:30 PM Thursday: 7:00 AM - 4:30 PM Friday: 7:00 AM - 4:30 PM Saturday: 7:30 AM - 12:00 PM ","http://www.keimlumber.com/","40.5076162","-81.7848785","11.9828672956979","Cell Phones; Ni-Cd Batteries; Li-Ion Batteries; Ni-MH Batteries; Ni-Zn Batteries; Small Sealed Lead Acid Batteries; Video Game Consoles; PlayStation Consoles","false","true","The U.S. EPA estimates that more than 350 million rechargeable batteries are purchased annually in the U.S. Thanks to the environmental commitment of this location, its easy and free to recycle your batteries. Bring your rechargeable batteries to this location and look for the recycling box or ask an associate how you can do your part for the environment.","","false","false","false","false"
"City of Orrville Recycling Drop-Off Site","","1114 W High St","Orrville","","OH","44667","8006789839","0","","https://www.timetorecycle.org/404-2/","40.843105","-81.7778477","12.2147663537203","","false","false","","","false","false","false","false"
"Buehler's Fresh Food","","1114 W High St","Orrville","","OH","44667","3306832060","0","","","40.843105","-81.7778477","12.2147663537203","","false","false","","","false","false","false","false"
"Ace Hardware","Ace Hardware","1114 W High St","Orrville","Wayne","OH","44667","3306832060","0","","http://www.acehardware.com/","40.84389","-81.77695","12.2805892296555","Cell Phones; Ni-Cd Batteries; Li-Ion Batteries; Ni-MH Batteries; Ni-Zn Batteries; Small Sealed Lead Acid Batteries; Video Game Consoles; PlayStation Consoles","false","true","The U.S. EPA estimates that more than 350 million rechargeable batteries are purchased annually in the U.S. Thanks to the environmental commitment of this location, its easy and free to recycle your batteries. Bring your rechargeable batteries to this location and look for the recycling box or ask an associate how you can do your part for the environment.","","false","false","false","false"
"Shred Nations","Shred Nations (inside PostNet)","343 W Milltown Rd Ste A","Wooster","Wayne","OH","44691","3304400396","0","Monday: 8:30 AM - 6:00 PM Tuesday: 8:30 AM - 6:00 PM Wednesday: 8:30 AM - 6:00 PM Thursday: 8:30 AM - 6:00 PM Friday: 8:30 AM - 6:00 PM Saturday: 10:00 AM - 2:00 PM ","http://www.shrednations.com/dropoff/location/wooster/c7b7ef70-d5a2-8d4d-0469-5242fe15090f","40.84316","-81.93592","12.5432325037005","Cell Phones; Computer (Recycling); Laptop Computers; Small Televisions; Documents to Shred; Video Game Consoles; PlayStation Consoles","true","true","Shred Nations offers document shredding, hard drive destruction, electronics recycling and more. Visit website for quotes and full list of services offered in your area. ","","false","false","false","false"
"Goodwill Industries","Goodwill Industries","1098 Glen Dr","Millersburg","Holmes","OH","44654","3306749222","0","Monday: 9:00 AM - 8:00 PM Tuesday: 9:00 AM - 8:00 PM Wednesday: 9:00 AM - 8:00 PM Thursday: 9:00 AM - 8:00 PM Friday: 9:00 AM - 8:00 PM Saturday: 9:00 AM - 8:00 PM Sunday: 10:00 AM - 5:00 PM ","http://locator.goodwill.org/","40.49247","-81.86515","12.6024267878457","Bikes; Books (Reuse); Cell Phones; Clothing; CD/DVD/Blu-ray/UHD discs; Computer (Reuse); Electronics; Gift Bags; Eyeglasses; Furniture; Household Goods; Lawn Equipment; Bed Mattresses; Musical Instruments; Ornaments; Reusable Appliance Donation; Sporting Goods; Telephones; Televisions; Miscellaneous Tools; Children's Toys; Car Donation; VHS & Cassette Tapes; MP3 Players; Video Game Consoles; PlayStation Consoles","false","true","This site accepts clean, gently used items.  All electronics and appliances must be in working condition.  This site accepts computer mice and keyboards.","","false","false","false","false"
"Goodwill Industries","Goodwill Industries","142 W Milltown Rd ","Wooster","Wayne County","OH","44691","3302627196","0","Monday: 9:00 AM - 8:00 PM Tuesday: 9:00 AM - 8:00 PM Wednesday: 9:00 AM - 8:00 PM Thursday: 9:00 AM - 8:00 PM Friday: 9:00 AM - 8:00 PM Saturday: 9:00 AM - 8:00 PM Sunday: 10:00 AM - 5:00 PM ","http://locator.goodwill.org/","40.8432476","-81.9404006","12.6371106142675","Bikes; Books (Reuse); Cell Phones; Clothing; CD/DVD/Blu-ray/UHD discs; Computer (Reuse); Electronics; Gift Bags; Eyeglasses; Furniture; Household Goods; Lawn Equipment; Bed Mattresses; Musical Instruments; Ornaments; Reusable Appliance Donation; Sporting Goods; Telephones; Televisions; Miscellaneous Tools; Children's Toys; Car Donation; VHS & Cassette Tapes; MP3 Players; Video Game Consoles; PlayStation Consoles","false","true","This site accepts clean, gently used items.  All electronics and appliances must be in working condition.  This site accepts computer mice and keyboards.","","false","false","false","false"
"City of Wooster Recycling Drop-Off Site - Buehler's Fresh Foods","","3540 Burbank Rd","Wooster","","OH","44691","8006789839","0","","https://www.timetorecycle.org/404-2/","40.8423462","-81.9447758","12.6698155454909","","false","false","","","false","false","false","false"
"The UPS Store 6071","","3540 Burbank Rd","Wooster","","OH","44691","3308041700","0","","https://locations.theupsstore.com/oh/wooster/3540-burbank-rd","40.8423462","-81.9447758","12.6698155454909","","false","false","","","false","false","false","false"
"Goodwill Industries of Wayne and Holmes Counties Inc. - Dell Reconnect Donation Site","","149 West Milltown Road","Wooster","","OH","44691","3302627196","0","","https://www.goodwillconnect.org/","40.8439374","-81.9410875","12.6949232572797","","false","false","","","false","false","false","false"
"Goodwill Industries of Wayne and Holmes Counties Inc. - Dell Reconnect Donation Site","","149 West Milltown Road","Wooster","","OH","44691","3302627196","0","","https://www.goodwillconnect.org/","40.8439374","-81.9410875","12.6949232572797","","false","false","","","false","false","false","false"
"Post Net","","343 W Milltown Rd Suite A","Wooster","","OH","44691","3303457447","0","","https://www.postnet.com/","40.8436387","-81.9446588","12.7491937764899","","false","false","","","false","false","false","false"
"Call2Recycle at Lowe's","Call2Recycle at Lowe's","3788 Burbank Rd","Wooster","Wayne","OH","44691","3302872261","0","Monday: 6:00 AM - 10:00 PM Tuesday: 6:00 AM - 10:00 PM Wednesday: 6:00 AM - 10:00 PM Thursday: 6:00 AM - 10:00 PM Friday: 6:00 AM - 10:00 PM Saturday: 6:00 AM - 10:00 PM Sunday: 8:00 AM - 8:00 PM ","http://www.lowes.com/","40.84527","-81.94369","12.8326686511188","Cell Phones; Compact Fluorescent Lights; Ni-Cd Batteries; Plastic Shopping Bags; Li-Ion Batteries; Ni-MH Batteries; Ni-Zn Batteries; Small Sealed Lead Acid Batteries; Video Game Consoles; PlayStation Consoles","false","true","As an environmentally-committed retailer, Lowes offers a recycling center near store entrances to give consumers a free and easy way to properly dispose of rechargeable batteries, cell phones, CFLs and plastic shopping bags; materials that otherwise could be potentially harmful to the environment.  Look for the recycling center or ask a store associate for more details.","","false","false","false","false"
