name,description,address,city,region,province,postal_code,phone,fax,hours,url,latitude,longitude,distance,materials,pickup,dropoff,notes,groups,curbside,municipal,national,event_only
"Lowe's","","1000 E Sh 152","Mustang","","OK","73064","4053672000","0","","https://newsroom.lowes.com/responsibility/operational-excellence/","35.2908033","-98.622555","10.8547104166407","","false","false","","","false","false","false","false"
"City of Weatherford Recycling Drop-off Location","","E Clark Ave & S Illinois St ","Weatherford","","OK","73096","5807723895","0","","","35.5239523","-98.7011685","10.9982201768159","","false","false","","","false","false","false","false"
"United Supermarkets","","920 E Main St","Weatherford","","OK","73096","5807728932","0","","","35.5247308","-98.6967659","11.151453362019","","false","false","","","false","false","false","false"
"Walmart","Walmart","1349 E Eagle Rd","Weatherford","Custer","OK","73096","5807721408","0","","http://www.walmart.com","35.52594","-98.69842","11.1874974611181","Lead Acid (Pb) Batteries; Plastic Shopping Bags; Food Storage Bags; Computer (Recycling); Computer Monitors; Electronics; Laptop Computers; Tablets; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Walmart Supercenter","","1349 Eagle Rd","Weatherford","","OK","73096","5807721408","0","","https://www.walmart.com/","35.5238864","-98.690833","11.2470615764843","","false","false","","","false","false","false","false"
"Walgreens","Walgreens","1019 E Main St","Weatherford","Custer","OK","73096","5807722956","0","","http://www.walgreens.com","35.52614","-98.69635","11.2494239102824","Cell Phones; Inkjet Cartridge Refilling; Inkjet Printer Cartridges; Computer (Recycling); Computer Monitors; Electronics; Laptop Computers; Tablets; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"O'Reilly Auto Parts","null","1001 East Main","Weatherford","","OK","73096","5807723141","0","","http://oreillyauto.custhelp.com/app/error/error_id/6","35.5265425","-98.695777","11.2883706120794","","false","false","","","false","false","false","false"
"United Supermarkets","","1428 N Glenn L English St","New Cordell","","OK","73632","5808323881","0","","","35.3052918","-98.9862194","12.5889060541382","","false","false","","","false","false","false","false"
"City of Weatherford Paper Recycling Drop-off Location","","1400 N Airport Rd","Weatherford","","OK","73096","5807727466","0","","","35.5396923","-98.6576521","13.1217392615855","","false","false","","","false","false","false","false"
"City of Weatherford Recycling Drop-off Location","","308 Wilson Rd","Weatherford","","OK","73096","5807723895","0","","","35.5387369","-98.6538278","13.1824163269932","","false","false","","","false","false","false","false"
"United Supermarkets","","1029 S 10th St","Clinton","","OK","73601","5803231810","0","","","35.5039099","-98.9708583","13.6954299190972","","false","false","","","false","false","false","false"
"O'Reilly Auto Parts","","913 W Gary Blvd","Clinton","","OK","73601","5803230971","0","","http://oreillyauto.custhelp.com/app/error/error_id/6","35.5157848","-98.9715055","14.2533585492658","","false","false","","","false","false","false","false"
"USPS Post Office Box Lobby Recycling Program","US Post Office","313 Main St","Rocky","Washita","OK","73661","8002758777","0","","https://www.usps.com/","35.15601","-99.06059","22.0098241040804","Catalogs; Greeting Cards; Magazines; Paper (Mixed)","false","true","","","false","false","false","false"
"Oklahoma Department of Environmental Quality","","","Albert","","OK","73009","4057021000","0","","http://www.deq.state.ok.us/","35.2328355","-98.4114464","23.2020324139378","","false","false","","","false","false","false","false"
"Hinton True Value","","111 West Main Street","Hinton","","OK","73047","4055426264","0","","https://www.truevalue.com/","35.471252","-98.3560652","24.8090287172179","","false","false","","","false","false","false","false"
"United Supermarkets","","315 S Broadway Ave","Hobart","","OK","73651","5807265639","0","","","35.0250554","-99.0964233","30.219392619513","","false","false","","","false","false","false","false"
"Walmart","","923 W 11th St","Hobart","","OK","73651","5807265693","0","","https://www.walmart.com/","35.0170384","-99.1042885","30.9290300714531","","false","false","","","false","false","false","false"
