name,description,address,city,region,province,postal_code,phone,fax,hours,url,latitude,longitude,distance,materials,pickup,dropoff,notes,groups,curbside,municipal,national,event_only
"WOW Recycling Depot","WOW Recycling Depot","Sheridan Rd. & Hwy 18","Sheridan","","OR","97378","5034723176","0","","http://westernoregonwaste.com/yamhill/rec-zone.html","45.0936499","-123.3798488","1.13334441758177","Glass (Blue); Glass (Brown); Glass (Clear); Glass (Green); Yard Waste; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"UNICOR FCI Sheridan Drop-Off Center","UNICOR FCI Sheridan Drop-Off Center","27072 SW Ballston Rd","Sheridan","Yamhill","OR","97378","8008273168","0","","http://www.unicor.gov/","45.07591","-123.3821","1.57351231842959","Car Audio/Video Equipment; Cell Phones; Computer (Recycling); Hard Drives; Computer Monitors; Cameras; Electronics; Laptop Computers; Medical Equipment; Memory (RAM), Flash Card/Drive; MP3 Players; Office Equipment; Computer Peripherals; Portable Media Players; Power Supplies; Printers/Scanners/Fax Machines; Small Electronics; Small Televisions; Telephones; Televisions; Video Game Systems; Calculator; Video Game Consoles; PlayStation Consoles","false","true","Drop off must be scheduled in advance. ","","false","false","false","false"
"WOW Recycling Depot","WOW Recycling Depot","25500 Grand Ronde Rd","Grand Ronde","","OR","97347","5034723176","0","","http://westernoregonwaste.com/yamhill/rec-zone.html","45.0779844","-123.6118843","10.2400012793688","Plastic #1 (PETE); Plastic #2 (HDPE); Plastic #2 (Color HDPE); Aluminum Cans; Glass (Brown); Cardboard; Glass (Clear); Glass (Green); Magazines; Newspapers; Tin or Steel Cans; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"USPS Post Office Box Lobby Recycling Program","US Post Office","105 Woodson St","Amity","Yamhill","OR","97101","8002758777","0","","https://www.usps.com/","45.10823","-123.19409","10.2445732060293","Catalogs; Greeting Cards; Magazines; Paper (Mixed)","false","true","","","false","false","false","false"
"US Post Office","USPS Discarded Lobby Mail Recycling Program","105 Woodson St","Amity","Yamhill","OR","97101","0","0","","","45.10823","-123.19409","10.2445732060293","Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Grand Ronde Recycling Depot","","9675 Grand Ronde Road","Grand Ronde","","OR","97347","5034723176","0","","https://www.co.yamhill.or.us","45.0759286","-123.612076","10.2650364197956","","false","false","","","false","false","false","false"
"USPS Post Office Box Lobby Recycling Program","US Post Office","8650 Grand Ronde Rd","Grand Ronde","Polk","OR","97347","8002758777","0","","https://www.usps.com/","45.06073","-123.60922","10.3046947976726","Catalogs; Greeting Cards; Magazines; Paper (Mixed)","false","true","","","false","false","false","false"
"Lowe's","","1250 SW Booth Bend Rd","Mcminnville","","OR","97128","5034353370","0","","https://newsroom.lowes.com/responsibility/operational-excellence/","45.1916582","-123.2123873","11.5160223530627","Batteries (Rechargeable); Cell Phone Batteries; Li-Ion Batteries; Ni-Cd Batteries; Ni-MH Batteries; Small Sealed Lead Acid Batteries; Cell Phones","false","true","","Call2Recycle","false","false","false","false"
"Polk County Recycling Drop-off Location","","1030 W Ellendale Ave ","Dallas","","OR","97338","5036232552","0","","","44.9308611","-123.330468","11.7640630130153","","false","false","","","false","false","false","false"
"Dallas Disposal Company","Dallas Disposal Company","1030 W Ellendale Ave","Dallas","Polk","OR","97338","5036232552","0","","","44.92959","-123.33171","11.8298212265121","Plastic #1 (PETE); Plastic #2 (HDPE); Plastic #2 (Color HDPE); Aluminum Cans; Glass (Brown); Glass (Clear); Ferrous Metals (Steel or Iron); Glass (Green); Magazines; Newspapers; Non-ferrous (Copper/Brass/Tin); Tin or Steel Cans; Used Motor Oil; Office Paper; Video Game Consoles; PlayStation Consoles","false","true","This site will accept recycling from a business as long as it is not more than the amount that a residential customer would generate in a week.","","false","false","false","false"
