name,description,address,city,region,province,postal_code,phone,fax,hours,url,latitude,longitude,distance,materials,pickup,dropoff,notes,groups,curbside,municipal,national,event_only
"Chesterfield County Recycling Drop-off Location","","16 Price Circle","Chesterfield","","SC","29709","8436239812","0","","https://www.scdhec.gov/environment/recycling-waste-reduction","34.721391","-80.091209","10.3809222485555","","false","false","","","false","false","false","false"
"GreenZone Textile Recycling - Cheraw","","831 Chesterfield Highway","Cheraw","","SC","29520","8007671284","0","","http://GZRUSA.com/","34.6955382","-79.9233814","10.5791473088295","","false","false","","","false","false","false","false"
"Walmart Supercenter","","1040 Chesterfield Hwy","Cheraw","","SC","29520","8435376381","0","","https://www.walmart.com/","34.7011146","-79.9313377","10.608155394784","","false","false","","","false","false","false","false"
"Walmart","Walmart","1040 Chesterfield Hwy ","Cheraw","Chesterfield County","SC","29520","8435376381","0","","http://www.walmart.com","34.7011085","-79.9313108","10.6087137303907","Lead Acid (Pb) Batteries; Plastic Shopping Bags; Food Storage Bags; Computer (Recycling); Computer Monitors; Electronics; Laptop Computers; Printers/Scanners/Fax Machines; Small Televisions; Televisions; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Advance Auto Parts","Advance Auto Parts","420 Chesterfield Hwy","Cheraw","Chesterfield","SC","29520","8435370927","0","Monday: 7:00 AM - 9:00 PM Tuesday: 7:00 AM - 9:00 PM Wednesday: 7:00 AM - 9:00 PM Thursday: 7:00 AM - 9:00 PM Friday: 7:00 AM - 9:00 PM Saturday: 7:00 AM - 9:00 PM Sunday: 10:00 AM - 8:00 PM ","http://www.advanceautoparts.com","34.69353","-79.91102","10.9343322119513","Lead Acid (Pb) Batteries; Used Motor Oil; Computer (Recycling); Computer Monitors; Electronics; Laptop Computers; Printers/Scanners/Fax Machines; Small Televisions; Televisions; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Cheraw Fire Department - Aluminum Cans for Burned Children","Cheraw Fire Department - Aluminum Cans for Burned Children","12 Chesterfield Hwy","Cheraw","Chesterfield","SC","29520","8435375941","0","Sunday: 12:00 AM - 11:59 PM Monday: 12:00 AM - 11:59 PM Tuesday: 12:00 AM - 11:59 PM Wednesday: 12:00 AM - 11:59 PM Thursday: 12:00 AM - 11:59 PM Friday: 12:00 AM - 11:59 PM Saturday: 12:00 AM - 11:59 PM ","","34.68997","-79.89803","11.2748442683394","Aluminum Cans; Computer (Recycling); Computer Monitors; Electronics; Laptop Computers; Printers/Scanners/Fax Machines; Small Televisions; Televisions; Video Game Consoles; PlayStation Consoles","false","true","This site is located on the Cheraw Fire Department lot.","","false","false","false","false"
"Cheraw Dyeing and Finishing - Aluminum Cans for Burned Children","Cheraw Dyeing and Finishing - Aluminum Cans for Burned Children","901 W Greene St","Cheraw","Chesterfield","SC","29520","8435372138","0","Sunday: 12:00 AM - 11:59 PM Monday: 12:00 AM - 11:59 PM Tuesday: 12:00 AM - 11:59 PM Wednesday: 12:00 AM - 11:59 PM Thursday: 12:00 AM - 11:59 PM Friday: 12:00 AM - 11:59 PM Saturday: 12:00 AM - 11:59 PM ","","34.69679","-79.90474","11.3420804285558","Aluminum Cans; Computer (Recycling); Computer Monitors; Electronics; Laptop Computers; Printers/Scanners/Fax Machines; Small Televisions; Televisions; Video Game Consoles; PlayStation Consoles","false","true","This site is located on Cheraw Dyeing and Finishing lot.","","false","false","false","false"
"Darlington County Recycling Drop-off Program","","212 W Depot St","Society Hill","","SC","29593","8433984888","0","","http://www.darcosc.com","34.5208794","-79.8450285","11.8078475077732","","false","false","","","false","false","false","false"
"Dovesville Station","Dovesville Station","250 Dovesville Hwy","Hartsville","Darlington","SC","29550","8433984888","0","Monday: 7:00 AM - 7:00 PM Tuesday: 7:00 AM - 7:00 PM Wednesday: 7:00 AM - 7:00 PM Thursday: 7:00 AM - 7:00 PM Friday: 7:00 AM - 7:00 PM Saturday: 8:00 AM - 7:00 PM ","http://www.darcosc.com/Recycling/","34.41814","-79.9596995","11.9077774341499","Plastic #1 (PETE); Plastic #2 (HDPE); Plastic #2 (Color HDPE); Aluminum Cans; Glass (Brown); Lead Acid (Pb) Batteries; Cardboard; Catalogs; Glass (Clear); Clothing; Glass (Green); Large Household Appliances; Magazines; Newspapers; Paperboard; Tin or Steel Cans; Used Motor Oil; Oil Filters; Textiles; Shoes; Bags & Belts; Scrap Metal","false","true","","","false","false","false","false"
"Society Hill Station","Society Hill Station","212 E Depot St ","Society Hill","Darlington County","SC","29593","8433984888","0","Monday: 7:00 AM - 7:00 PM Tuesday: 7:00 AM - 7:00 PM Wednesday: 7:00 AM - 7:00 PM Thursday: 7:00 AM - 7:00 PM Friday: 7:00 AM - 7:00 PM Saturday: 8:00 AM - 7:00 PM ","http://www.darcosc.com/Recycling/","34.514743","-79.843451","12.0377670689302","Plastic #1 (PETE); Plastic #2 (HDPE); Aluminum Cans; Glass (Brown); Lead Acid (Pb) Batteries; Cardboard; Catalogs; Glass (Clear); Clothing; Ferrous Metals (Steel or Iron); Gift Boxes; Glass (Green); Large Household Appliances; Magazines; Newspapers; Paperboard; Tin or Steel Cans; Used Motor Oil; Oil Filters; Textiles; Bags & Belts; Scrap Metal","false","true","","","false","false","false","false"
