name,description,address,city,region,province,postal_code,phone,fax,hours,url,latitude,longitude,distance,materials,pickup,dropoff,notes,groups,curbside,municipal,national,event_only
"Heart of Texas Goodwill Industries Inc - Dell Reconnect Donation Site","","2439 LaSalle Ave","Waco","","TX","76706","2547534984","0","","https://hotgoodwill.org/","31.5256521","-97.1301552","10.2300458671996","","false","false","","","false","false","false","false"
"Walgreens","Walgreens","1520 S Valley Mills Dr","Waco","McLennan","TX","76711","2547523986","0","","http://www.walgreens.com","31.52548","-97.14349","10.5932611777209","Cell Phones; Inkjet Cartridge Refilling; Inkjet Printer Cartridges; Computer (Recycling); Computer Monitors; Electronics; Laptop Computers; Computer Peripherals; Small Televisions; Tablets; Televisions; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"H-E-B","","1110 S Valley Mills","Waco","","TX","76707","2547572292","0","","","31.5269514","-97.1468754","10.6017027053783","","false","false","","","false","false","false","false"
"Heart of Texas Goodwill Industries Inc - Dell Reconnect Donation Site","","3334 Franklin Ave","Waco","","TX","76710","0","0","","https://hotgoodwill.org/","31.5319556","-97.1569733","10.6192676230897","","false","false","","","false","false","false","false"
"Advance Auto Parts","","1118 S Valley Mills Dr","Beverly Hills","","TX","76711","2547572012","0","","http://shop.advanceautoparts.com/webapp/wcs/stores/servlet/home___","31.5262807","-97.1467977","10.6396824549449","","false","false","","","false","false","false","false"
"Advance Auto Parts","Advance Auto Parts","1118 S Valley Mills Dr","Beverly Hills","McLennan","TX","76711","2547572012","0","Monday: 7:00 AM - 9:00 PM Tuesday: 7:00 AM - 9:00 PM Wednesday: 7:00 AM - 9:00 PM Thursday: 7:00 AM - 9:00 PM Friday: 7:00 AM - 9:00 PM Saturday: 7:00 AM - 9:00 PM Sunday: 10:00 AM - 8:00 PM ","http://www.advanceautoparts.com","31.52608","-97.14849","10.7013148209886","Lead Acid (Pb) Batteries; Used Motor Oil; Computer (Recycling); Computer Monitors; Electronics; Laptop Computers; Computer Peripherals; Small Televisions; Tablets; Televisions; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"AutoZone","null","905 S Valley Mills","Beverly Hills","","TX","76711","2547573313","0","","https://www.autozone.com/landing/page.jsp?name=in-our-stores","31.5259149","-97.148968","10.7253052944207","","false","false","","","false","false","false","false"
"AutoZone","AutoZone","905 S Valley Mills","Beverly Hills","McLennan County","TX","76711","2547573313","0","","http://www.autozone.com","31.5259872","-97.1495393","10.7379378649332","Lead Acid (Pb) Batteries; Used Motor Oil; Computer (Recycling); Computer Monitors; Electronics; Laptop Computers; Computer Peripherals; Small Televisions; Tablets; Televisions; Video Game Consoles; PlayStation Consoles","false","true","Most AutoZone stores accept used motor oil, transmission fluid, gear oil and automotive batteries. Call to see what your local store is currently accepting.","","false","false","false","false"
"Shred Nations","Shred Nations (inside Pak Mail)","10324 China Spring Rd Ste B","Waco","McLennan","TX","76708","2542968885","0","Monday: 9:00 AM - 6:00 PM Tuesday: 9:00 AM - 6:00 PM Wednesday: 9:00 AM - 6:00 PM Thursday: 9:00 AM - 6:00 PM Friday: 9:00 AM - 6:00 PM Saturday: 10:00 AM - 2:00 PM ","http://www.shrednations.com/dropoff/location/waco/f334f3ea-e7b8-5113-09bc-52339d712ce0","31.62858","-97.2384","10.8704000638548","Cell Phones; Computer (Recycling); Laptop Computers; Small Televisions; Documents to Shred; Computer Monitors; Electronics; Computer Peripherals; Tablets; Televisions; Video Game Consoles; PlayStation Consoles","true","true","Shred Nations offers document shredding, hard drive destruction, electronics recycling and more. Visit website for quotes and full list of services offered in your area. ","","false","false","false","false"
"Pep Boys Auto","Pep Boys Auto","581 Westview Vlg","Waco","McLennan","TX","76710","8007372697","0","","http://www.pepboys.com","31.53399","-97.16868","10.9019575633884","Used Motor Oil; Computer (Recycling); Computer Monitors; Electronics; Laptop Computers; Computer Peripherals; Small Televisions; Tablets; Televisions; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
