name,description,address,city,region,province,postal_code,phone,fax,hours,url,latitude,longitude,distance,materials,pickup,dropoff,notes,groups,curbside,municipal,national,event_only
"A&D Computer Recycling and Metals","","po box 651645","Salt Lake City","","UT","84165","8016380708","0","","https://freecomputerrecyclingofutah.com/","40.7099836","-111.8899961","0.228806374821738","","false","false","","","false","false","false","false"
"Call2Recycle at Western Tool Supply","Call2Recycle at Western Tool Supply","280 W 2855 S","Salt Lake City","Salt Lake","UT","84115","8014863100","0","","http://www.westerntool.com/","40.70997","-111.89845","0.407361163139819","Cell Phones; Ni-Cd Batteries; Li-Ion Batteries; Ni-MH Batteries; Ni-Zn Batteries; Small Sealed Lead Acid Batteries; Video Game Consoles; PlayStation Consoles","false","true","The U.S. EPA estimates that more than 350 million rechargeable batteries are purchased annually in the U.S. Thanks to the environmental commitment of this location, its easy and free to recycle your batteries. Bring your rechargeable batteries to this location and look for the recycling box or ask an associate how you can do your part for the environment.","","false","false","false","false"
"SLC Community Bike Shop","SLC Community Bike Shop","2312 S West Temple","Salt Lake City","Salt Lake","UT","84115","8013282453","0","","http://www.bicyclecollective.org/","40.72069","-111.89321","0.536128250501847","Bikes; Miscellaneous Tools; Textiles; Toothbrushes; Video Game Consoles; PlayStation Consoles","false","true","As part of our on going Bicycle Recycling project we are in constant need of volunteer mechanics, bicycles (especially childrens bicycles), and bicycle parts of all types. Donated bikes are also eligible as a tax write-off.","","false","false","false","false"
"USPS Post Office Box Lobby Recycling Program","US Post Office","3161 S West Temple","Salt Lake City","Salt Lake","UT","84115","8002758777","0","","https://www.usps.com/","40.70364","-111.89311","0.650823962857129","Catalogs; Greeting Cards; Magazines; Paper (Mixed)","false","true","","","false","false","false","false"
"US Post Office","US Post Office","3161 S West Temple","Salt Lake City","Salt Lake","UT","84115","0","0","","https://www.usps.com/ship/recycle-through-usps.htm","40.70364","-111.89311","0.650823962857129","Inkjet Printer Cartridges; Video Game Consoles; PlayStation Consoles","false","true","Free, postage-paid Mail Back envelopes can be found on display in the lobby. There is no limit to the number of envelopes customers may take. The contents of the envelope must weigh less than 13 ounces and the envelope must be able to seal completely. For more details visit<a href="http://www.maxback.com/mxb-postoffice-collaboration" target="_blank">MaxBack</a>.","","false","false","false","false"
"Jiffy Lube","Jiffy Lube","2102 S Main St","Salt Lake City","Salt Lake","UT","84115","8014671861","0","Monday: 8:00 AM - 7:00 PM Tuesday: 8:00 AM - 7:00 PM Wednesday: 8:00 AM - 7:00 PM Thursday: 8:00 AM - 7:00 PM Friday: 8:00 AM - 7:00 PM Saturday: 8:00 AM - 5:00 PM ","http://www.jiffylube.com","40.72403","-111.89126","0.762138500704739","Transmission Fluid; Used Motor Oil; Oil Filters; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Unwanted Appliances Hauled Away","Unwanted Appliances Hauled Away","2100 S State St","Salt Lake City","Salt Lake","UT","84115","8888869268","0","","http://www.unwanted.com/","40.72389","-111.88871","0.768989516337473","Large Household Appliances; Video Game Consoles; PlayStation Consoles","true","true","","","false","false","false","false"
"Call2Recycle at Hilti","Call2Recycle at Hilti","2180 S 300 W Ste 108","Salt Lake City","Salt Lake","UT","84115","8016560055","0","","https://www.us.hilti.com/","40.72293","-111.90011","0.812586568377385","Cell Phones; Ni-Cd Batteries; Li-Ion Batteries; Ni-MH Batteries; Ni-Zn Batteries; Small Sealed Lead Acid Batteries; Video Game Consoles; PlayStation Consoles","false","true","The U.S. EPA estimates that more than 350 million rechargeable batteries are purchased annually in the U.S. Thanks to the environmental commitment of this location, its easy and free to recycle your batteries. Bring your rechargeable batteries to this location and look for the recycling box or ask an associate how you can do your part for the environment.","","false","false","false","false"
"Best Buy","Best Buy","261 W 2100 S","Salt Lake City","Salt Lake County","UT","84115","8014631436","0","","https://www.bestbuy.com/recycle","40.7242031","-111.8981749","0.842932556765479","Large Household Appliances; Refrigerators; Televisions; AC Power Plugs; Batteries (Rechargeable); Cables & Connectors; Car Audio/Video Equipment; Cell Phone Batteries; Cell Phones; Computer (Recycling); Hard Drives; Computer Monitors; Cameras; DVD Players/Blu-Ray Players/DVRs; Electronics; E-Readers; GPS Units; Headphones; Inkjet Printer Cartridges; Laptop Computers; Laser Toner Cartridges; Li-Ion Batteries; MP3 Players; Network Equipment; Ni-Cd Batteries; Ni-MH Batteries; Ni-Zn Batteries; Computer Peripherals; Portable Media Players; Printers/Scanners/Fax Machines; Small Electronics; Small Sealed Lead Acid Batteries; Stereo Equipment; Tablets; Telephones; UPS Batteries/Backup Systems; VCRs; Video Game Systems; Blu-Ray Players; Digital Converter Boxes; Small Televisions; Video Game Consoles; PlayStation Consoles","true","true","2 TVs per visit, 3 e-waste items per day; $25 fee for TVs and Monitors; $19.99 pick-up fee with delivery; $99.99 standalone pickup fee; ","Sony, Vizio, OEM","false","false","false","false"
"Best Buy","","261 W 2100 S","Salt Lake City","","UT","84115","8014631436","0","","https://www.bestbuy.com/site/services/recycling/pcmcat149900050025.c?id=pcmcat149900050025","40.7242031","-111.8981749","0.842932556765479","","false","false","","","false","false","false","false"
"Trek Bicycle Salt Lake City Downtown","Trek Bicycle Salt Lake City Downtown","247 South 500 East","Salt Lake City","Salt Lake ","UT","84102","8017468366","0","","","40.7196828","-111.8768502","0.907859932967283","E-Bike Batteries","false","true","Call or Check Online for Hours","Call2Recycle","false","false","false","false"
"North Building Atrium","North Building Atrium","2001 S State St","Salt Lake City","Salt Lake","UT","84190","0","0","","","40.72661","-111.88811","0.959366670368556","Compact Fluorescent Lights","false","true","All Salt Lake County citizens are authorized to dispose of their bulbs here.","","false","false","false","false"
"Wasatch Metal Recycling-Div Metro Grp Inc","","205 West 3300 South","Salt Lake City","","UT","84115","8014843511","0","","https://www.wasatchmetal.com/","40.6997164","-111.8974297","0.964648454757277","","false","false","","","false","false","false","false"
"Wasatch Metal Recycling","","205 West 3300 South","Salt Lake City","","UT","84115","8014843511","0","","https://www.wasatchmetal.com/","40.6997164","-111.8974297","0.964648454757277","","false","false","","","false","false","false","false"
"Jiffy Lube","Jiffy Lube","3300 S Main St","Salt Lake City","Salt Lake","UT","84115","8014879561","0","Monday: 8:00 AM - 7:00 PM Tuesday: 8:00 AM - 7:00 PM Wednesday: 8:00 AM - 7:00 PM Thursday: 8:00 AM - 7:00 PM Friday: 8:00 AM - 7:00 PM ","http://www.jiffylube.com","40.69888","-111.89146","0.97611103947286","Transmission Fluid; Used Motor Oil; Video Game Consoles; PlayStation Consoles","false","true","This site is located at 33rd Street and Main.","","false","false","false","false"
"Batteries Plus","Batteries Plus","293 E 3300 S","Salt Lake City","Salt Lake","UT","84115","8014614988","8014619101","","http://www.batteriesplus.com/store_details/358.aspx","40.69978","-111.89886","0.986116192968361","Compact Fluorescent Lights; Batteries (Rechargeable); Alkaline/Single-Use Batteries; Video Game Consoles; PlayStation Consoles","false","true","Some fees for battery recycling may apply.  Please contact your Local store for details. 
<p>
Batteries Plus lead by example by recycling the majority of the batteries we sell. Not only do we recycle to protect our environment, we support retail and business customers alike by keeping them in full compliance with federal, state, municipal, EPA and DOT regulations governing the disposal and recycling of spent batteries and select electronics.","","false","false","false","false"
"Batteries Plus Bulbs","","293 East 3300 South","Salt Lake City","","UT","84115","8014614988","0","","https://www.batteriesplus.com/store-locator/ut/358?utm_source=local&utm_medium=earth911","40.7002498","-111.8829887","0.994401815695742","","false","false","","","false","false","false","false"
"JCPenney","null","10450 S State St","Sandy","","UT","84070","8015729229","0","","https://www.jcpenney.com/","40.6985974","-111.8883544","1.01154744596072","","false","false","","","false","false","false","false"
"OfficeMax","","10957 S State St","Sandy","","UT","84070","8015726774","0","","","40.6985974","-111.8883544","1.01154744596072","","false","false","","","false","false","false","false"
"Target Store","","10130 S State St","Sandy","","UT","84070","8012553301","0","","https://corporate.target.com/corporate-responsibility/planet","40.6985974","-111.8883544","1.01154744596072","","false","false","","","false","false","false","false"
"M&M Tool & Machinery","","3362 South Main Street","Salt Lake City","","UT","84114","8014858200","0","","","40.6983643","-111.8915353","1.01167756759574","","false","false","","","false","false","false","false"
"Wasatch Metal Recycling","Wasatch Metal Recycling","205 W 3300 S","Salt Lake City","Salt Lake","UT","84115","8013053700","0","Monday: 8:00 AM - 5:00 PM Tuesday: 8:00 AM - 5:00 PM Wednesday: 8:00 AM - 5:00 PM Thursday: 8:00 AM - 5:00 PM Friday: 8:00 AM - 5:00 PM Saturday: 8:00 AM - 2:00 PM ","http://www.wasatchmetal.com","40.69919","-111.89882","1.02324800882067","Aluminum Cans; Aluminum; Car; Automobile Parts; Bikes; Lead Acid (Pb) Batteries; Ferrous Metals (Steel or Iron); Large Household Appliances; Lawn Equipment; Clothes Hangers (Metal); Non-ferrous (Copper/Brass/Tin); Tin or Steel Cans; Wire; Video Game Consoles; PlayStation Consoles","false","true","We buy all types of scrap metal: steel, radiators, stainless steel, brass, aluminum, cast iron, copper, scrap iron, and aluminum cans. We also pay premium prices for strippable #1 copper and strippable #2 copper (250 mcm and greater). See our website for a complete list of all materials we accept.","","false","false","false","false"
"Wasatch Metal Recycling-Div Metro Grp Inc","Wasatch Metal Recycling-Div Metro Grp Inc","205 W 3300 S","Salt Lake City","Salt Lake","UT","84115","8013053700","0","Monday: 8:00 AM - 5:00 PM Tuesday: 8:00 AM - 5:00 PM Wednesday: 8:00 AM - 5:00 PM Thursday: 8:00 AM - 5:00 PM Friday: 8:00 AM - 5:00 PM Saturday: 8:00 AM - 2:00 PM ","http://www.wasatchmetal.com","40.69919","-111.89882","1.02324800882067","Aluminum Cans; Aluminum; Automobile Parts; Ferrous Metals (Steel or Iron); Non-ferrous (Copper/Brass/Tin); Tin or Steel Cans; Wire; Radiators; Motors; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Home Depot","Home Depot","328 W 2100 S","Salt Lake City","Salt Lake","UT","84115","8014673900","0","Monday: 6:00 AM - 10:00 PM Tuesday: 6:00 AM - 10:00 PM Wednesday: 6:00 AM - 10:00 PM Thursday: 6:00 AM - 10:00 PM Friday: 6:00 AM - 10:00 PM Saturday: 6:00 AM - 10:00 PM Sunday: 7:00 AM - 8:00 PM ","http://www.homedepot.com","40.72686","-111.90116","1.07579161761058","Compact Fluorescent Lights; Batteries (Rechargeable); Video Game Consoles; PlayStation Consoles","false","true","Home Depot accepts compact fluorescent bulbs and used power tool rechargeable batteries. Look for the orange drop boxes, usually located near the front entrance near the customer service desk.","","false","false","false","false"
"Call2Recycle at the Home Depot","Call2Recycle at the Home Depot","328 West 2100 South","Salt Lake City","Salt Lake","UT","84115","8014673900","0","","http://www.homedepot.com/","40.72686","-111.90116","1.07579161761058","Cell Phones; Compact Fluorescent Lights; Ni-Cd Batteries; Li-Ion Batteries; Ni-MH Batteries; Ni-Zn Batteries; Small Sealed Lead Acid Batteries; Video Game Consoles; PlayStation Consoles","false","true","The Home Depot accepts used rechargeable batteries and compact fluorescent bulbs. Look for the orange drop boxes, usually located near the front entrance near the customer service desk, or ask a store associate for more details.","","false","false","false","false"
"Home Depot","","328 W 2100 S","Salt Lake City","","UT","84115","8014673900","0","","https://ecooptions.homedepot.com/","40.7270283","-111.9008899","1.07982923914337","Batteries (Rechargeable); Cell Phone Batteries; Li-Ion Batteries; Ni-Cd Batteries; Ni-MH Batteries; Small Sealed Lead Acid Batteries","false","true","","Call2Recycle","false","false","false","false"
"Sams Club","","1905 S 300 W","Salt Lake City","","UT","84115","8014782400","0","","https://www.samsclub.com/","40.7283821","-111.8982196","1.11453449637564","","false","false","","","false","false","false","false"
"Salt Lake Valley Transfer Station","","502 W 3300 S","Salt Lake City","","UT","84119","3854686370","0","","","40.7005183","-111.906421","1.15421774985272","","false","false","","","false","false","false","false"
"Columbus Community Center","","3495 SW Temple","Salt Lake City","","UT","84115","8012621552","0","","http://www.columbusserves.org/","40.6954475","-111.8932824","1.21565945951977","","false","false","","","false","false","false","false"
"Emerald Services","Emerald Services","2450 S 800 W","South Salt Lake","Salt Lake","UT","84119","8019734131","0","","http://www.emeraldnw.com","40.71751","-111.91426","1.21755392341676","Used Motor Oil; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Battery Specialists","Battery Specialists","3503 S Main St","Salt Lake City","Salt Lake","UT","84115","8012629255","0","","http://www.call2recycle.org/","40.6951","-111.89103","1.23775237344191","Cell Phones; Ni-Cd Batteries; Li-Ion Batteries; Ni-MH Batteries; Ni-Zn Batteries; Small Sealed Lead Acid Batteries; Video Game Consoles; PlayStation Consoles","false","true","The U.S. EPA estimates that more than 350 million rechargeable batteries are purchased annually in the U.S. Thanks to the environmental commitment of this location, its easy and free to recycle your batteries. Bring your rechargeable batteries to this location and look for the recycling box or ask an associate how you can do your part for the environment.","","false","false","false","false"
"Bicycle Center","Bicycle Center","2200 S 700 E","Salt Lake City","Salt Lake ","UT","84106","8014845275","0","","","40.722067","-111.87122","1.24550539091873","E-Bike Batteries","false","true","Call or Check Online for Hours","Call2Recycle","false","false","false","false"
"Pick-N-Pull","Pick-N-Pull","585 W 3300 S","Salt Lake City","Salt Lake","UT","84115","8012648253","0","Monday: 9:00 AM - 6:00 PM Tuesday: 9:00 AM - 6:00 PM Wednesday: 9:00 AM - 6:00 PM Thursday: 9:00 AM - 6:00 PM Friday: 9:00 AM - 6:00 PM ","http://www.picknpull.com","40.69974","-111.90789","1.24571366442858","Car; Video Game Consoles; PlayStation Consoles","true","true","","","false","false","false","false"
"Orion Wireless, Inc.","","1846 S 300 W","Salt Lake City","","UT","84115","8014678800","0","","","40.729604","-111.9012755","1.24986519293107","","false","false","","","false","false","false","false"
"Pep Boys Auto","Pep Boys Auto","2160 S 700 E","Salt Lake City","Salt Lake","UT","84106","8014873334","0","","http://www.pepboys.com","40.72346","-111.87155","1.28222768195989","Used Motor Oil; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Call2Recycle at Grainger","Call2Recycle at Grainger","2775 S 900 W","South Salt Lake","Salt Lake","UT","84119","8019721340","0","","http://www.grainger.com/","40.71153","-111.91624","1.28491493963405","Cell Phones; Ni-Cd Batteries; Li-Ion Batteries; Ni-MH Batteries; Ni-Zn Batteries; Small Sealed Lead Acid Batteries; Video Game Consoles; PlayStation Consoles","false","true","The U.S. EPA estimates that more than 350 million rechargeable batteries are purchased annually in the U.S. Thanks to the environmental commitment of this location, its easy and free to recycle your batteries. Bring your rechargeable batteries to this location and look for the recycling box or ask an associate how you can do your part for the environment.","","false","false","false","false"
"Cartridge World","","2120 South 700 East","Salt Lake City","","UT","84106","8014844657","0","","","40.724815","-111.872462","1.29968155837052","","false","false","","","false","false","false","false"
"O'Reilly Auto Parts","null","1122 S State St ","Salt Lake City","","UT","84115","8014844123","0","","http://oreillyauto.custhelp.com/app/error/error_id/6","40.7316164","-111.887828","1.3023546591984","","false","false","","","false","false","false","false"
"O'Reilly Auto Parts","null","631 East 3300 South","Salt Lake City","","UT","84106","8014870596","0","","http://oreillyauto.custhelp.com/app/error/error_id/6","40.7001453","-111.8733514","1.31198284320934","","false","false","","","false","false","false","false"
"Firestone Complete Auto Care Store","Firestone Complete Auto Care Store","2191 S 700 E","Salt Lake City","Salt Lake","UT","84106","8016573989","0","Monday: 8:00 AM - 7:00 PM Tuesday: 8:00 AM - 7:00 PM Wednesday: 8:00 AM - 7:00 PM Thursday: 8:00 AM - 7:00 PM Friday: 8:00 AM - 7:00 PM Saturday: 7:00 AM - 6:00 PM ","http://www.firestonecompleteautocare.com/","40.72333","-111.87068","1.31522788301964","Lead Acid (Pb) Batteries; Used Motor Oil; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"O'Reilly Auto Parts","O'Reilly Auto Parts","631 E 3300 S","Salt Lake City","Salt Lake","UT","84106","8014870596","0","Monday: 7:30 AM - 10:00 PM Tuesday: 7:30 AM - 10:00 PM Wednesday: 7:30 AM - 10:00 PM Thursday: 7:30 AM - 10:00 PM Friday: 7:30 AM - 10:00 PM Saturday: 7:30 AM - 10:00 PM Sunday: 8:00 AM - 8:00 PM ","http://www.oreillyauto.com/","40.70085","-111.87217","1.3268078364791","Lead Acid (Pb) Batteries; Used Motor Oil; Video Game Consoles; PlayStation Consoles","false","true","Most stores offer Used Oil & Battery Recycling, Battery Testing, 
Electrical & Module Testing, Loaner Tool Program, Drum / Rotor Resurfacing. Call your location for more details.","","false","false","false","false"
"Firestone Complete Auto Care","","2191 S 7th St","Salt Lake City","","UT","84106","8014867279","0","","https://www.firestonecompleteautocare.com/","40.7256235","-111.9111901","1.33894919323762","","false","false","","","false","false","false","false"
"Cartridge World","Cartridge World","2120 S 700 E","Salt Lake City","Salt Lake","UT","84106","8014844657","0","Monday: 9:00 AM - 7:00 PM Tuesday: 9:00 AM - 7:00 PM Wednesday: 9:00 AM - 7:00 PM Thursday: 9:00 AM - 7:00 PM Friday: 9:00 AM - 7:00 PM Saturday: 10:00 AM - 5:00 PM ","https://www.cartridgeworld.com/","40.72491","-111.87118","1.35656260709524","Inkjet Cartridge Refilling; Inkjet Printer Cartridges; Laser Toner Refilling; Laser Toner Cartridges; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Rotary Glenn Park","Rotary Glenn Park","2270 S 800 E ","Salt Lake City","Salt Lake County","UT","84106","8019746902","0","","http://www.slvswmf.net/recycling/city/citys/salt_lake_city.html","40.7215333","-111.8682351","1.36657376669913","Glass (Brown); Glass (Clear); Glass (Green)","false","true","","","false","false","false","false"
"Deseret Industries","","700 E 2100 S","Salt Lake City","","UT","84106","8014863474","0","","","40.72538","-111.8713096","1.37117663459195","","false","false","","","false","false","false","false"
"Salt Lake City Glass Drop-off Bin - The Beer Store","","1763 S 300 W","Salt Lake City","","UT","84115","8015356470","0","","http://www.slcclassic.com/slcgreen/recycle/","40.7322933","-111.8991017","1.38658294671343","","false","false","","","false","false","false","false"
"FedEx Office","FedEx Office","3330 S 700 E","Salt Lake City","Salt Lake","UT","84106","8014849300","0","Monday: 7:00 AM - 10:00 PM Tuesday: 7:00 AM - 10:00 PM Wednesday: 7:00 AM - 10:00 PM Thursday: 7:00 AM - 10:00 PM Friday: 7:00 AM - 10:00 PM Saturday: 9:00 AM - 9:00 PM Sunday: 9:00 AM - 5:00 PM ","http://www.fedex.com/us/office/","40.69925","-111.87208","1.40287302319103","Inkjet Printer Cartridges; Laser Toner Cartridges; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"The Beer Store","The Beer Store","1763 S 300 W","Salt Lake City","Salt Lake","UT","84115","8019746902","0","","http://www.slcgov.com/node/1497","40.73258","-111.89915","1.40632143703351","Glass (Brown); Glass (Clear); Glass (Green)","false","true","Look for the blue bins with bright yellow lids. For use by residents only. Only glass bottles and jars accepted.","","false","false","false","false"
"Fairmont Park","Fairmont Park","2361 S 900 E ","Salt Lake City","Salt Lake County","UT","84106","8019746902","0","","http://www.slcgov.com/node/1497","40.7194699","-111.8653945","1.45220161413279","Glass (Brown); Glass (Clear); Glass (Green)","false","true","Look for the blue bins with bright yellow lids. For use by residents only. Only glass bottles and jars accepted.","","false","false","false","false"
"Salt Lake City Glass Drop-off Bin - Fairmont Park","","2361 S 900 E","Salt Lake City","","UT","84106","8015356470","0","","http://www.slcclassic.com/slcgreen/recycle/","40.7194691","-111.8652921","1.45728810816378","","false","false","","","false","false","false","false"
