name,description,address,city,region,province,postal_code,phone,fax,hours,url,latitude,longitude,distance,materials,pickup,dropoff,notes,groups,curbside,municipal,national,event_only
"Gainesville Lot","","14525 John Marshall Hwy","Gainesville","","VA","20155","8884022665","0","","https://www.discoverbooks.com/Default.asp","38.8059517","-77.6246601","0.484376939084776","","false","false","","","false","false","false","false"
"Bull Run Exxon","Bull Run Exxon","13705 Lee Hwy ","Gainesville","Prince William County","VA","20155","7037544311","0","","","38.797911","-77.603756","0.814362110711079","Antifreeze; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Target","Target","13301 Gateway Center Dr","Gainesville","Prince William","VA","20155","5712615052","0","","http://www.target.com/","38.79465","-77.60723","0.85559284786001","Aluminum Cans; Cell Phones; Inkjet Printer Cartridges; MP3 Players; Plastic #1 (PETE); Plastic #2 (HDPE); Plastic Shopping Bags; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Lowe's","","13000 Gateway Center Dr","Gainesville","","VA","20155","7034686000","0","","https://newsroom.lowes.com/responsibility/operational-excellence/","38.7966757","-77.6038475","0.865503420058575","Batteries (Rechargeable); Cell Phone Batteries; Li-Ion Batteries; Ni-Cd Batteries; Ni-MH Batteries; Small Sealed Lead Acid Batteries; Cell Phones","false","true","","Call2Recycle","false","false","false","false"
"Call2Recycle at Lowe's","Call2Recycle at Lowe's","13000 Gateway Center Dr","Gainesville","Prince William","VA","20155","7034686000","0","Monday: 6:00 AM - 10:00 PM Tuesday: 6:00 AM - 10:00 PM Wednesday: 6:00 AM - 10:00 PM Thursday: 6:00 AM - 10:00 PM Friday: 6:00 AM - 10:00 PM Saturday: 6:00 AM - 10:00 PM Sunday: 8:00 AM - 8:00 PM ","http://www.lowes.com/","38.79647","-77.60333","0.895709653896591","Cell Phones; Compact Fluorescent Lights; Ni-Cd Batteries; Plastic Shopping Bags; Li-Ion Batteries; Ni-MH Batteries; Ni-Zn Batteries; Small Sealed Lead Acid Batteries; Video Game Consoles; PlayStation Consoles","false","true","As an environmentally-committed retailer, Lowes offers a recycling center near store entrances to give consumers a free and easy way to properly dispose of rechargeable batteries, cell phones, CFLs and plastic shopping bags; materials that otherwise could be potentially harmful to the environment.  Look for the recycling center or ask a store associate for more details.","","false","false","false","false"
"Best Buy","Best Buy","13093 Gateway Center Dr ","Gainesville","Prince William County","VA","20155","5712484944","0","","https://www.bestbuy.com/recycle","38.7939","-77.60368","1.01050365562341","Large Household Appliances; Refrigerators; Televisions; AC Power Plugs; Batteries (Rechargeable); Cables & Connectors; Car Audio/Video Equipment; Cell Phone Batteries; Cell Phones; Computer (Recycling); Hard Drives; Computer Monitors; Cameras; DVD Players/Blu-Ray Players/DVRs; Electronics; E-Readers; GPS Units; Headphones; Inkjet Printer Cartridges; Laptop Computers; Laser Toner Cartridges; Li-Ion Batteries; MP3 Players; Network Equipment; Ni-Cd Batteries; Ni-MH Batteries; Ni-Zn Batteries; Computer Peripherals; Portable Media Players; Printers/Scanners/Fax Machines; Small Electronics; Small Sealed Lead Acid Batteries; Stereo Equipment; Tablets; Telephones; UPS Batteries/Backup Systems; VCRs; Video Game Systems; Blu-Ray Players; Digital Converter Boxes; Small Televisions; Video Game Consoles; PlayStation Consoles","true","true","2 TVs per visit, 3 e-waste items per day; $25 fee for TVs and Monitors; $19.99 pick-up fee with delivery; $99.99 standalone pickup fee; ","Sony, Vizio, OEM","false","false","false","false"
"Best Buy","","13093 Gateway Center Dr","Gainesville","","VA","20155","5712484944","0","","https://www.bestbuy.com/site/services/recycling/pcmcat149900050025.c?id=pcmcat149900050025","38.7939","-77.60368","1.01050365562341","","false","false","","","false","false","false","false"
"uBreakiFix","uBreakiFix","7443 Linton Hall Road","Gainesville","Prince William ","VA","20155","5712480462","0","","","38.7902919164107","-77.6092970839213","1.08102006209749","Batteries (Rechargeable); Cell Phone Batteries; Cell Phones; Li-Ion Batteries; Ni-Cd Batteries; Ni-MH Batteries; Small Sealed Lead Acid Batteries","false","true","Call or Check Online for Hours","Call2Recycle","false","false","false","false"
"Prince William County Christmas Tree Collection Event","","5399 Wellington Branch Dr","Gainesville","","VA","20155","7033350500","0","","http://www.pwcgov.org/","38.7964995","-77.5977792","1.13500044706989","","false","false","","","false","false","false","false"
"Shopper's--DC","Shopper's--DC","7471 Somerset Crossing Dr","Gainesville","Prince William","VA","20155","5712613897","0","","","38.80012","-77.6363","1.16014333589889","Plastic Shopping Bags; Food Storage Bags; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Verizon Wireless","Verizon Wireless","5100 Wellington Rd","Gainesville","Prince William","VA","20155","5712486506","5712486246","","http://www.verizonwireless.com/","38.79407","-77.59873","1.19159701322857","Cell Phones; Cell Phone Batteries; Video Game Consoles; PlayStation Consoles","false","true","<A Href="https://www.trade-in.vzw.com/home.aspx">
The Verizon Wireless Trade-In Program</A> allows you to trade in your used handset or tablet in a convenient and responsible way. 
<P>
<P>
