name,description,address,city,region,province,postal_code,phone,fax,hours,url,latitude,longitude,distance,materials,pickup,dropoff,notes,groups,curbside,municipal,national,event_only
"Blue Rhino Exchange - Mr. C's","Blue Rhino Exchange - Mr. C's","140 N Main St","Rutland","Rutland","VT","05701","8027751073","0","","http://www.bluerhino.com","43.61748","-72.97387","0.283169517922864","Propane Tank Exchange; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Blue Rhino Exchange - Mac's Convenience Store","Blue Rhino Exchange - Mac's Convenience Store","145 N Main St","Rutland","Rutland","VT","05701","8027754174","0","","http://www.bluerhino.com","43.61849","-72.97423","0.288630175653338","Propane Tank Exchange; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Blue Rhino Exchange - Irving Mainway #1611","Blue Rhino Exchange - Irving Mainway #1611","86 Woodstock Ave","Rutland","Rutland","VT","05701","8027751459","0","","http://www.bluerhino.com","43.61331","-72.96515","0.407936192393557","Propane Tank Exchange; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Wireless Zone","Wireless Zone","62 Woodstock Ave","Rutland","Rutland","VT","05701","8027757694","0","Monday: 9:00 AM - 8:00 PM Tuesday: 9:00 AM - 8:00 PM Wednesday: 9:00 AM - 8:00 PM Thursday: 9:00 AM - 8:00 PM Friday: 9:00 AM - 8:00 PM Saturday: 9:00 AM - 8:00 PM Sunday: 11:00 AM - 5:00 PM ","http://www.wirelesszone.com","43.61331","-72.96515","0.407936192393557","Cell Phones; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Walmart ","null","90 Shopping Plaza Rd,","Rutland","","VT","5701","8027730200","0","","https://www.walmart.com/","43.612689","-72.963461","0.485184367106249","","false","false","","","false","false","false","false"
"Goodwill Industries of The Berkshires Inc. - Dell Reconnect Donation Site","","230 North Main Street","Rutland","","VT","","8027724383","0","","http://www.goodwill-berkshires.com","43.6247852","-72.9744757","0.516566821556977","","false","false","","","false","false","false","false"
"Goodwill Industries of The Berkshires Inc. - Dell Reconnect Donation Site","","230 North Main Street","Rutland","","VT","","8027724383","0","","http://www.goodwill-berkshires.com","43.6247852","-72.9744757","0.516566821556977","","false","false","","","false","false","false","false"
"Blue Rhino Exchange - Bove Mart","Blue Rhino Exchange - Bove Mart","213 N Main St","Rutland","Rutland","VT","05701","8027757901","0","","http://www.bluerhino.com","43.62447","-72.97531","0.525203048914568","Propane Tank Exchange; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Walmart","Walmart","1 Rutland Shopping Plz","Rutland","Rutland","VT","05701","8027730200","0","","http://www.walmart.com","43.61225","-72.96275","0.529725458552014","Lead Acid (Pb) Batteries; Plastic Shopping Bags; Food Storage Bags; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Blue Rhino Exchange - Walmart #2530","Blue Rhino Exchange - Walmart #2530","1 Rutland Shopping Plz","Rutland","Rutland","VT","05701","8027730200","0","","http://www.bluerhino.com","43.61225","-72.96275","0.529725458552014","Propane Tank Exchange; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
