name,description,address,city,region,province,postal_code,phone,fax,hours,url,latitude,longitude,distance,materials,pickup,dropoff,notes,groups,curbside,municipal,national,event_only
"Mail Post","Mail Post","3020 Issaquah Pine Lake Rd SE","Issaquah","King","WA","98075","4253914594","0","Monday: 9:00 AM - 6:00 PM Tuesday: 9:00 AM - 6:00 PM Wednesday: 9:00 AM - 6:00 PM Thursday: 9:00 AM - 6:00 PM Friday: 9:00 AM - 6:00 PM Saturday: 10:00 AM - 4:00 PM ","","47.58177","-122.03336","0.16880772061107","Packing Peanut (Reuse); Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Busby Junk Removal","Busby Junk Removal","24215 SE 43rd Pl","Issaquah","King","WA","98029","8774045865","0","","http://busbyjunkremoval.com/","47.56667","-122.01784","1.41923186857786","Plastic #1 (PETE); Plastic #2 (HDPE); Plastic #2 (Color HDPE); Plastic #3 (PVC); Plastic #4 (LDPE); Plastic #5 (Polypropylene); Plastic #6 (Polystyrene); Plastic #7; Aluminum Cans; Aluminum; Broken Asphalt/Aggregate; Glass (Blue); Book Recycling; Brick(s); Glass (Brown); Brown Paper Bags; Brush; Cardboard; Carpet; Catalogs; Chipboard; Glass (Clear); Computer Monitors; Computer Paper; Computer (Recycling); Concrete (Set); Construction Materials; Drink Boxes; Electronics; Ferrous Metals (Steel or Iron); Gift Bags; Gift Boxes; Grass Clippings; Glass (Green); Greeting Cards; Household Goods; Large Household Appliances; Leaves; Magazines; Clothes Hangers (Metal); Milk Cartons; Paper (Mixed); Newspapers; Ni-Cd Batteries; Non-ferrous (Copper/Brass/Tin); Office Equipment; Ornaments; Other Batteries; Glass (Other); Wood Pallets; Paperboard; Phone books; Batteries (Rechargeable); Shingles; Alkaline/Single-Use Batteries; Stone; Televisions; Tin or Steel Cans; Tree Trimmings; Weeds; Office Paper; Wood; MP3 Players; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Call2Recycle at RadioShack","Call2Recycle at RadioShack","653 228th Ave NE","Sammamish","King","WA","98074","4258367722","0","","http://www.radioshack.com/","47.61486","-122.03555","2.11989885858576","Cell Phones; Ni-Cd Batteries; Li-Ion Batteries; Ni-MH Batteries; Ni-Zn Batteries; Small Sealed Lead Acid Batteries; Video Game Consoles; PlayStation Consoles","false","true","As the first national retailer to partner with Call2Recycle, RadioShack is at the forefront of the rechargeable battery recycling cause and is pleased to offer battery recycling at thousands of convenient RadioShack locations for free.  Simply drop them off at your local RadioShack and theyll take care of the rest.  Ask a store associate for more details.","","false","false","false","false"
"Safeway","","630 228th Avenue Northeast","Sammamish","","WA","98074","4258684000","0","","https://shop.safeway.com/home.html","47.6153939","-122.0335841","2.15505610195446","","false","false","","","false","false","false","false"
"Safeway","null","630 228th Ave NE","Sammamish","","WA","98074","4258684000","0","","https://www.google.com/maps","47.6153939","-122.0335841","2.15505610195446","","false","false","","","false","false","false","false"
"Bartell Drugs - Sammamish","Bartell Drugs - Sammamish","526 228th Ave NE","Sammamish","King","WA","98074","4258686058","0","","http://www.bartelldrugs.com/recycling","47.61625","-122.03538","2.21556602809411","Cell Phones; Compact Fluorescent Lights; Batteries (Rechargeable); Outdated Medications; Respiratory Inhalers; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Albertsons","Albertsons","5530 E Lake Sammamish Pkwy SE","Issaquah","King","WA","98029","4253917147","0","","","47.5529","-122.04408","2.21604292472003","Plastic Shopping Bags; Food Storage Bags; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Goodwill Sammamish Donation Center","","228th Ave NE & NE 8th St","Sammamish","","WA","98074","0","0","","https://seattlegoodwill.org/","47.6165594","-122.0355655","2.23724697464911","","false","false","","","false","false","false","false"
"GreenDisk","","","Issaquah","","WA","98029","8003053475","0","","https://www.greendisk.com/gdsite/default.aspx","47.5577093","-122.0051561","2.2630933789922","","false","false","","","false","false","false","false"
"Bartell Drugs - Issaquah","Bartell Drugs - Issaquah","5700 E Lake Sammamish Pkwy SE","Issaquah","King","WA","98029","4253911765","0","","http://www.bartelldrugs.com/recycling","47.55038","-122.04293","2.37597761386352","Cell Phones; Compact Fluorescent Lights; Batteries (Rechargeable); Outdated Medications; Respiratory Inhalers; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Best Buy","Best Buy","6000 E Lake Sammamish Pkwy SE ","Issaquah","King County","WA","98029","4253940999","0","","https://www.bestbuy.com/recycle","47.5493109","-122.0410135","2.43456368774349","Large Household Appliances; Refrigerators; Televisions; AC Power Plugs; Batteries (Rechargeable); Cables & Connectors; Car Audio/Video Equipment; Cell Phone Batteries; Cell Phones; Computer (Recycling); Hard Drives; Computer Monitors; Cameras; DVD Players/Blu-Ray Players/DVRs; Electronics; E-Readers; GPS Units; Headphones; Inkjet Printer Cartridges; Laptop Computers; Laser Toner Cartridges; Li-Ion Batteries; MP3 Players; Network Equipment; Ni-Cd Batteries; Ni-MH Batteries; Ni-Zn Batteries; Computer Peripherals; Portable Media Players; Printers/Scanners/Fax Machines; Small Electronics; Small Sealed Lead Acid Batteries; Stereo Equipment; Tablets; Telephones; UPS Batteries/Backup Systems; VCRs; Video Game Systems; Blu-Ray Players; Digital Converter Boxes; Small Televisions; Video Game Consoles; PlayStation Consoles","true","true","2 TVs per visit, 3 e-waste items per day; $25 fee for TVs and Monitors; $19.99 pick-up fee with delivery; $99.99 standalone pickup fee; ","Sony, Vizio, OEM","false","false","false","false"
"Best Buy","","6000 East Lake Sammamish Pkwy SE","Issaquah","","WA","98029","4253940999","0","","https://www.bestbuy.com/site/services/recycling/pcmcat149900050025.c?id=pcmcat149900050025","47.5493109","-122.0410135","2.43456368774349","","false","false","","","false","false","false","false"
"Sprint Store","","6130 E Lake Sammamish Pkwy SE","Issaquah","","WA","98029","4254276232","0","","https://newsroom.sprint.com/csr/device-donations/","47.5484084","-122.0413181","2.49829678549086","","false","false","","","false","false","false","false"
"Home Depot","","6200 E Lke Samammish Pky","Issaquah","","WA","98029","4253918467","0","","https://ecooptions.homedepot.com/","47.5470114","-122.0367651","2.57344783178818","","false","false","","","false","false","false","false"
"AT&T Wireless","AT&T Wireless","6150 E Lake Sammamish Pkwy SE","Issaquah","King","WA","98029","4253920114","0","","http://www.att.com/","47.54695","-122.04007","2.59077280341715","Cell Phones; Ni-Cd Batteries; Batteries (Rechargeable); Cell Phone Batteries; Tablets; Li-Ion Batteries; Video Game Consoles; PlayStation Consoles","false","true","Receive an AT&T Promotion Card worth the trade-in value of your smartphone, tablet, or netbook. You can also donate the trade-in value to Cell Phones for Soldiers.","","false","false","false","false"
"Call2Recycle at the Home Depot","Call2Recycle at the Home Depot","6200 E Lake Sammamish Pkwy ","Issaquah","King","WA","98029","4253918467","0","","http://www.homedepot.com/","47.54662","-122.03965","2.6112744719421","Cell Phones; Compact Fluorescent Lights; Ni-Cd Batteries; Li-Ion Batteries; Ni-MH Batteries; Ni-Zn Batteries; Small Sealed Lead Acid Batteries; Video Game Consoles; PlayStation Consoles; Batteries (Rechargeable); Cell Phone Batteries; Li-Ion Batteries; Ni-Cd Batteries; Ni-MH Batteries; Small Sealed Lead Acid Batteries","false","true","The Home Depot accepts used rechargeable batteries and compact fluorescent bulbs. Look for the orange drop boxes, usually located near the front entrance near the customer service desk, or ask a store associate for more details.","Call2Recycle","false","false","false","false"
"Lowe's","","1625 11th Ave NW","Issaquah","","WA","98027","4253913355","0","","https://newsroom.lowes.com/responsibility/operational-excellence/","47.5490715","-122.0564362","2.64834508270654","Batteries (Rechargeable); Cell Phone Batteries; Li-Ion Batteries; Ni-Cd Batteries; Ni-MH Batteries; Small Sealed Lead Acid Batteries; Cell Phones","false","true","","Call2Recycle","false","false","false","false"
"Walgreens","Walgreens","6300 E Lake Sammamish Pkwy SE","Issaquah","King","WA","98029","4253690265","0","","http://www.walgreens.com","47.54598","-122.03889","2.65178477615899","Cell Phones; Inkjet Cartridge Refilling; Inkjet Printer Cartridges; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Call2Recycle at Lowe's","Call2Recycle at Lowe's","1625 11th Ave NW","Issaquah","King","WA","98027","4253913355","0","Monday: 6:00 AM - 10:00 PM Tuesday: 6:00 AM - 10:00 PM Wednesday: 6:00 AM - 10:00 PM Thursday: 6:00 AM - 10:00 PM Friday: 6:00 AM - 10:00 PM Saturday: 6:00 AM - 10:00 PM Sunday: 8:00 AM - 8:00 PM ","http://www.lowes.com/","47.54826","-122.05416","2.65997390197383","Cell Phones; Compact Fluorescent Lights; Ni-Cd Batteries; Plastic Shopping Bags; Li-Ion Batteries; Ni-MH Batteries; Ni-Zn Batteries; Small Sealed Lead Acid Batteries; Video Game Consoles; PlayStation Consoles","false","true","As an environmentally-committed retailer, Lowes offers a recycling center near store entrances to give consumers a free and easy way to properly dispose of rechargeable batteries, cell phones, CFLs and plastic shopping bags; materials that otherwise could be potentially harmful to the environment.  Look for the recycling center or ask a store associate for more details.","","false","false","false","false"
"Accents et cetera, Inc","","1225 244th Ave NE","Sammamish","","WA","98074","4258830189","0","","http://www.accentsetc.com/","47.6211438","-122.0148568","2.6991651017322","","false","false","","","false","false","false","false"
